index	prompt1	prompt2	prompt3	prompt4
4040	There is a sofa with a pillow and a bag on it. There is a lamp beside it. There is a book shelf with books and a laptop on it. There is a table with a lamp on it.	No.	Female.	Female.
4041	In this image there is a woman holding a glass in her right hand and drinking.	Yes.	Female.	Female.
4042	A person is attached to a parachute with an object attached to the left side of the parachute.	NO.	Female.	Male.
4043	A baseball game is underway. A batter is swinging a bat. He is wearing a black number 21 jersey. He is in the process of hitting a ball. There are many people watching the game. Some are sitting on the bleachers	No.	Male.	Male.
4044	A woman is playing tennis and she is holding a tennis racket in her right hand. The background of the image is green with black text.	No.	Female.	Female.
4045	A woman is sitting at a wooden table with a plate of pizza and a glass of wine.	No.	Female.	Female.
4046	A woman is holding a tennis racket and hitting a yellow ball with it.	Yes.	Female.	Female.
4047	A desk has a telephone, papers and a calendar on it.	No.	Female.	Female.
4048	In this image there are some objects placed on the table. There are some objects placed on the shelves. There is a glass on the table. There is a board with some text on the board. There are some objects placed on the shelves.	No.	Female.	Female.
4049	In this image we can see a table with many objects on it. On the table we can see a laptop, keyboard, mouse, books, a mouse pad, a mouse, a mouse, a keyboard, a mouse pad, a chair, a	No, there is no person in this image.	Female.	Female.
4050	In the image we can see there are two laptops and a keyboard on the table. There are wires and cables on the table. There is a box on the table.	No.	Male.	Female.
4051	In this image there are many people sitting on the grass. In the front there is a woman standing and talking. In the background there is a house with stairs and a tree. On the right side there is a table with a television and a few	Yes.	Female.	Female.
4052	In this image there is a person standing in front of a table. On the table there are some food items. Beside the person there is a person standing. In the background there is a table, a person standing, a person sitting, a	No.	Female.	Female.
4053	In this image I can see a tree and a mobile phone hanging from the tree.	No.	Female.	Female.
4054	A man is holding a cell phone in his hand. He is wearing a black polo shirt with a black belt.	No.	Male.	Male.
4055	An outdoor kitchen appliance is placed near a road.	No.	Female.	Female.
4056	In this image we can see a clock on the street. In the background we can see buildings, windows, and a sky.	No.	Female.	Male.
4057	In this image there is a table on which there is a flower vase. On the table there are books.	No.	Female.	Female.
4058	In this image there are people standing and watching the clock. There are many objects hanging on the ceiling.	Yes.	Male.	Male.
4059	In the image there is a black table with a bowl on it and a bowl with green leaves.	Yes.	Female.	FRENCH.
4060	In the foreground of this image, there is a teddy bear sitting on the black cloth. In the background, there is a painting on the wall.	No.	NO.	Female.
4061	In this image there are two men sitting on chairs. On the table there are plates, glasses, tissues, knife, fork, spoon, napkin, fork, knife, glass, tissue paper, spoon, knife, glass, tissue paper, spoon	Yes.	Male.	Male.
4062	In this image there is a person sitting on a scooter. There are vehicles on the road. There are buildings in the background. There is a person standing on the road.	Yes.	Female.	Female.
4063	In this image we can see a train on the track, a person holding an umbrella, a car, a traffic signal, a pole with a traffic signal, a fence, buildings, poles, wires, traffic signals, a pole with a traffic signal	Yes.	Male.	Male.
4064	A man is sitting at a table with a box of desserts in front of him.	No.	Male.	Male.
4065	In this image we can see a person's hand holding a knife and a food item. In the background it is blurry.	Yes.	Male.	Male.
4066	In this image we can see a man standing in the kitchen. He is holding a spoon. There are many objects on the shelves. There is a window in the background.	Yes.	Male.	Male.
4067	A man in a chef's outfit is standing in front of a counter with a stove and food on it. There are people sitting at a counter. In the background, there are windows and a door.	Yes.	Female.	Female.
4068	A bathroom has two sinks, one on each vanity, and a mirror above them.	No.	Female.	Female.
4069	A young woman is riding a bicycle on the road, in an out of focus background, there are buildings, trees and power lines.	No.	Female.	Female.
4070	This image depicts a bathroom interior, specifically focusing on the shower area. The bathroom features a clean and organized layout, with a focus on the shower area. The shower area is enclosed by a white double door, which is framed by a white wall.	No.	Female.	Female.
4071	In this image there is a green color vehicle which is moving on the road. There are many people standing on the road. There are many trees and there are many wires. There is a board with some text written on it. There is a bicycle	No.	Female.	Male.
4072	This is a black and white image. In this image there are many cars parked on the road. In the background there are buildings and trees. On the right side of the image there is a person standing on the sidewalk.	No.	Male.	Male.
4073	In this black and white image we can see many cars parked on the road. In the background we can see buildings, trees, poles, street lights, vehicles on the road, street lights, sky and the clouds.	No.	Male.	Male.
4074	In this image there are two white birds on the car. In the background there are trees, buildings, poles, people and the sky.	No, there is no person in this image.	Male.	Male.
4075	In this image there is a road, on the road there are cows, there are cars, there are buildings, there are trees, there are hills, there are clouds in the sky.	No.	Female.	Female.
4076	In this image there is a toilet, a sink, a box, a cupboard, a table, a wall, a mirror, a window, a shelf, a few other objects and a yellow object.	No.	Female.	Female.
4077	A man is riding a motorcycle on a race track.	Yes.	Male.	Male.
4078	In this image we can see a building with a door, a window, a board attached to the wall, a plant, a banner attached to the wall, a street light, a car, a sign board attached to the wall, a trash bin	No.	Female.	Female.
4079	In this image, there is a person on a bike, and they are in the middle of a sandstorm. The person is wearing a helmet, gloves, and a jacket. The bike is yellow and has the number 213 on it	Yes.	Male.	Male.
4080	In the image there are several motorcycles parked in front of a bus. To the left side of the image there is a bus.	No.	Female.	Female.
4081	A black and white image shows three military helicopters flying in a group, possibly in the sky. The helicopters are flying in a circular formation, with the center helicopter slightly ahead of the others. The helicopters are all the same design, with a long,	No.	Male.	Male.
4082	A grey airplane is flying in the sky.	No.	Female.	Male.
4083	In this image we can see a few buildings, some people are standing, traffic signals, poles, boards, traffic lights, traffic cones, vehicles, some boards, poles, wires, a few people, some objects, a few objects on the ground	No.	Female.	Female.
4084	In this image I can see a person holding a dog in the hand. I can see the road, buildings, traffic signals, trees, poles and the sky.	No.	Female.	Female.
4085	In this image we can see a train on the track, a group of people, some vehicles, a pole with a sign board, some poles, a traffic signal, a metal fence, some plants, a group of buildings, some wires, some	No.	Female.	Female.
4086	In the image we can see there are giraffes, plants, grass, rocks, and trees.	No.	Female.	Female.
4087	In this image we can see two statues on a stone bench. There is a bag on the bench. There are people standing on the footpath. There is a shutter in the background.	No.	Female.	Female.
4088	In this image there is a person wearing a helmet and a red and blue shirt is standing on the road. There is a motorcycle on the road. There are vehicles on the road. There are trees and poles. There are lights on the poles.	Yes.	Female.	Female.
4089	In this image we can see vehicles on the road, buildings, sign boards, poles, trees, sign boards, vehicles, people, boards, poles, sign boards, buildings, sign boards, trees, sign boards, buildings, sign boards, people	No.	Female.	Female.
4090	In this image we can see a sofa, a bowl, a chair, a fence, a car, a van, a building, trees, poles, wires, grass, and the sky.	No.	NO.	Female.
4091	This is a black and white image. In this image, I can see a building, few cars, a pole, a board, a tree, a building, a sky and a few other objects.	No.	Male.	Male.
4092	In this black and white image we can see a road, vehicles, light poles, buildings, sign boards, trees, and a person walking on the road.	No.	Male.	Male.
4093	In this image we can see buildings, windows, pipes, electric poles, electric cables, vehicles, a table, a box, a chair, a person, a vehicle, a sign board, a building, a road, a sky, and some	No.	Female.	Male.
4094	In this image we can see a few people walking on the road, a traffic signal, a pole with a light, a few banners, trees, buildings, boards, a few poles, a few people, a few objects, a few objects on	Yes.	Male.	Male.
4095	In this image we can see a bird standing on the metal rods. In the background we can see the green color mesh and the trees.	No.	Female.	Female.
4096	In this image there is a bird flying in the air. In the background there is a sea.	No.	Female.	Female.
4097	In the image there are three giraffes in an area with trees and rocks.	No.	Female.	Male.
4098	A road with yellow lines on it and arrows pointing in both directions. On the right there is a sign with a symbol and text. On the left there are buildings and a street light. On the top there is a clear sky.	No.	Female.	Female.
4099	This image depicts an urban street scene with a prominent street sign. The sign is green and white, featuring the word "YES" in white letters, along with a smaller, more prominent "YES" in a different color. The sign is	No.	Female.	Male.
4100	In this image there is a building with a name "K&mans on the left side of the image.	No.	Female.	Female.
4101	A train is on a track, which is on the right side of the image. On the left side, there is a platform, beside which there is a yellow-colored curb. In the background, there are buildings, trees, poles, wires	No.	Female.	Female.
4102	In this image we can see a train on the railway track. In the background we can see a mountain, the sky and clouds.	No.	Female.	Female.
4103	This is a black and white image. In this image, I can see the cars on the road. In the background, I can see the bridge, lights, and the sky.	No.	Female.	Female.
4104	This is a black and white image. In this image there is a building, a store, a sign board, a pole, a sign board, a bus, a person, a trash bin, a car, a tree, a pole, a	No.	Female.	Male.
4105	This is a black and white image. In this image there are cars on the road. In the background there are buildings, trees, a church and the sky.	No.	Female.	Female.
4106	In this image we can see vehicles kept on the floor. We can also see the white color board attached to the vehicle. We can also see the white color board attached to the vehicle. We can also see the white color board attached to the vehicle	No.	Female.	Female.
4107	A great-grandfather Chevrolet has a light blue color.	No.	Female.	Male.
4108	In this image there is a horse standing on the left side of the image. There is a shed on the right side of the image. There is a flag hanging on the shed. There is a truck on the right side of the image. There	No.	Female.	Female.
4109	A group of people are walking on the crosswalk in the bottom right corner. There are two people in the bottom center.	Yes.	Male.	Male.
4110	A street scene with a person walking and a vehicle in the background.	Yes.	Female.	Male.
4111	In this image we can see a cat and a chair on the floor. In the background we can see a door and a wall.	No.	Female.	Female.
4112	In the foreground of the picture there are two boats. In the background there are trees, houses, grass and water. At the top there is sky.	No.	Female.	Female.
4113	In this image we can see boats on the water, there are trees, buildings, and the sky.	No.	Female.	Female.
4114	In this image we can see a boat with a few objects on it. We can also see the flowers in the bouquet. We can also see the ropes and the boat.	No.	Female.	Male.
4115	A storefront advertises James Smith Sons, established in 1830.	No.	MALE.	Male.
4116	A man is jumping in the air in front of a hedge.	Yes.	Male.	Male.
4117	A man is tying his tie. He is wearing a white shirt, black tie with polka dots and a black suit jacket. In the background, there is a picture frame on the wall.	Yes.	Male.	Male.
4118	In the image we can see there are animals grazing on the grass and there are ships in the water and there is a mountain covered with snow.	No.	Female.	Female.
4119	An elephant is standing on the ground and a hammock is hung over it.	No.	Female.	Female.
4120	A woman is holding an umbrella and looking through a store.	Yes.	Female.	Female.
4121	A small girl holding an umbrella is standing on a wooden floor.	No.	Female.	Female.
4122	A collage of multiple photos showing the back and sides of a group of people skateboarding on concrete. The people are shown from the knees up, and their faces are not visible. They are wearing casual clothing, including jeans and sneakers. Some of	None.	Male.	Male.
4123	In the image there is a dog inside a bed.	No.	Female.	Female.
4124	In the foreground of the picture there is a grass surface. On the right there is a person playing frisbee. In the background there are trees, buildings and the sky.	No.	Female.	Male.
4125	In this image there are two zebras in the middle of the image. There are plants and trees in the middle of the image. There are mountains in the background.	No.	Male.	Female.
4126	In the image we can see a man is holding a frisbee in his hand. He is smiling. In the background we can see trees, grass, a blue color object, a white color object, a blue color object, a white color	Yes.	Male.	Male.
4127	In this image we can see some people riding horses on the ground. In the background we can see some trees, vehicles, and the sky.	No.	Male.	Male.
4128	In this image there is a person sitting on a horse and holding a saddle. In the background there is a vehicle. There are buildings and trees.	Yes.	Female.	Female.
4129	In this image there is a man riding a horse. He is wearing a hat.	Yes.	Male.	Male.
4130	In this image there are two horses standing on the road. Behind the horses there are two people sitting on the horses. Behind them there are buildings. In the background there is a sky.	None.	Men.	Male.
4131	In this black and white image we can see a woman lying on the ground, there are some people standing, there are some vehicles, there are some poles, there are some trees, there is a building, there is a board on the pole,	No.	Female.	Female.
4132	In this image we can see a horse cart on the road. In the background there are trees. There is a man sitting in the horse cart.	Yes.	Female.	Male.
4133	In the image there is a horse and its foal.	No.	Female.	Female.
4134	In this image we can see a baseball player running on the ground. In the background we can see two players, one of them is wearing a helmet and the other one is wearing a glove.	No.	Male.	Male.
4135	A baseball player is running to the base, while another player is trying to tag him.	No.	Male.	Male.
4136	In the image there is a white plate with meat and pasta on it.	No.	Female.	Female.
4137	A piece of chocolate cake is on a plate with syrup.	No.	Female.	Female.
4138	In this image there are many people sitting on chairs. In the front there is a table on which there are many things. In the background there are trees and there is a tent.	No.	Male.	Male.
4139	A baseball player in white jersey with the number 18 on it is about to swing his bat and hit the ball.	Yes.	Male.	Male.
4140	In this image there are two persons standing on skis. Behind them there are trees.	Yes.	Male.	Male.
4141	In this image there are people standing on the snow. In the background there are mountains. At the top there is the sky.	Yes.	Female.	Female.
4142	A large green Broccoli sits on a cutting board, next to a knife.	No.	Female.	Female.
4143	A black and white image shows a man on a skateboard, standing on a sidewalk. Behind him, there are other people walking. On the left side, there is a building with arches and pillars. On the right side, there are buildings with	Yes.	Male.	Male.
4144	A boy is riding a skateboard on a road.	No.	Male.	Male.
4145	A skier is skiing through white ice.	Yes.	Female.	Female.
4146	A sandwich is wrapped in a brown paper bag with a logo that looks like a ketchup can. The sandwich is a hot dog with ketchup and mustard.	No.	Male.	Male.
4147	A person is doing a trick on a skateboard in a skatepark.	Yes.	Male.	Male.
4148	A man is jumping in the air with skateboard. He is wearing a pink shirt, blue jeans and black shoes.	Yes.	Male.	Male.
4149	In the image we can see there are three people standing on the snow. In the background there are trees and sky.	Yes.	Male.	Male.
4150	A plastic container of Hiraagashi Donuts with an orange label and a white price tag.	No.	Female.	Female.
4151	A woman is sitting at a table outdoors, holding a sandwich. In the background, there is a brick wall, a sign, a wooden gate, and a cell phone on a table.	No.	Female.	Female.
4152	In this image there is a table on which there are sandwiches, water bottles and a plant. There are chairs.	No.	Female.	Female.
4153	A small girl is sitting at a table with a plate of pastries. The girl has blond hair and is wearing a blue and red striped top. In front of her, there is a plate with three pastries. Behind her, there is a picture	No.	Female.	Female.
4154	In this image there is a plate with food on it.	No.	Female.	Female.
4155	A person is walking on the beach with a surfboard. The ocean is visible behind them.	Yes.	Male.	Male.
4156	In this image we can see a few objects, one of them is a pink container, beside it there is a metal pole, a few people are sitting on the chairs, a few objects are placed on the ground, a few objects are placed on	Yes.	Female.	Male.
4157	This image is taken in a hospital. In the center of the image there are beds. On the beds there are mattresses. In the background there are curtains and there are pipes. At the top of the image there is a ceiling with lights.	No.	Female.	Female.
4158	A person is standing in a living room with a dining table and chairs.	Yes.	Female.	Female.
4159	A little girl is running in a grassy park.	No.	Female.	Female.
4160	A man is eating a piece of pizza. He is wearing a tie and a white shirt. There are two paper plates on the table.	Yes.	Male.	Male.
4161	A woman is sitting at a table with several plates of food. On one of the plates are several slices of pizza, lettuce, and shrimp. In the background, there is a woman with a black shirt and she is cutting a pizza.	No.	Female.	Female.
4162	A man is holding a blue heart-shaped plaque with the words "Happy Valentine's Day" on it.	Yes.	Male.	Male.
4163	In this image there are people standing and sitting on the road. In the background there is a wall.	Yes.	Male.	Male.
4164	In this image we can see a person's hand holding a white remote control.	Yes.	Male.	Male.
4165	In this image we can see a keyboard, a mouse, a monitor, a keyboard, a mouse pad, a monitor screen, a keyboard, a mouse, a mouse pad, a keyboard, a mouse, a monitor, a mouse, a keyboard	Yes.	Female.	Female.
4166	A woman holds an open phone in her right hand, with her index finger pointing to it. In the background, there are many people standing, some of them are sitting on chairs, some are standing, and there is a stage with a flag and	No.	Female.	Female.
4167	In this image there is a beach with some people standing on the sand. In the background there is an ocean with waves. On the top of the image there is the sky.	No.	Female.	Female.
4168	A clock is on a wall, but the time is not visible.	No.	Female.	Male.
4169	In this image we can see a statue of a baseball player holding a bat. In the background we can see trees, grass, fencing, plants, and the sky.	No.	Male.	Robot.
4170	In this image there is a person walking on the road. There is a clock on the pole. There is a wall on the right side. There is a water body on the left side. There is a sky at the top of the image.	Yes.	Male.	Male.
4171	This is a black and white image. In this image, I can see a building.	No.	Female.	Female.
4172	In this black and white image I can see the building, the door, the windows, the clock, the gate and the trees.	No.	Female.	Female.
4173	In this image we can see a clock on the ground, there are people standing on the ground, there are buildings, there are banners, there are posters, there are trees, there is a building with windows, there is a clock on the wall	No.	Male.	Male.
4174	In the image we can see there is a cat which is in brown color. In the fridge there are many things.	No.	Female.	Female.
4175	In this image we can see a chair, a table, a monitor, a keyboard, a mouse, a laptop, a telephone, a telephone, a speaker, a camera, a tripod, a photo frame, a photo, a photo,	Yes.	Male.	Male.
4176	In this image there is a teddy bear.	No.	Female.	Female.
4177	In this image we can see a table, chairs, bottles, boxes, boards, and a refrigerator. In the background there is a wall with frames and a poster. At the top there is a ceiling with lights.	No, there is no person in this image.	Female.	Female.
4178	In this kitchen there is a sink, microwave, oven and cupboards.	No.	Female.	Female.
4179	In the image there is a silver refrigerator in the middle of the image, beside the refrigerator there is a sink and a wooden cabinet.	No.	Female.	Female.
4180	A Sony camera is next to a white and silver flip phone.	No.	Female.	Female.
4181	A man is smiling in front of the camera.	Yes.	Male.	Male.
4182	In this image we can see a man is talking on the phone. In the background of the image there is a building.	Yes.	Male.	Male.
4183	In this image we can see refrigerators in the racks. There is a chair in the bottom left of the image. There is a wall in the background.	Yes.	Male.	Male.
4184	In this image there is a tower, on the tower there is a clock, there are statues, there are people, there are poles, there are lights, there are buildings, there are trees, there is a sky.	No.	Female.	Female.
4185	In this image we can see food items on a plate.	No.	Female.	Female.
4186	In the foreground of the picture there is a building, trees, flags and a clock tower. In the background there is sky with clouds.	No.	Female.	Female.
4187	A child is working in a shop. He is wearing a jacket with red and blue colors. He is holding a stick. In front of him, there are many bowls and plates.	No.	Male.	Male.
4188	In this image we can see a kitchen with cupboards, a counter, a stove, a refrigerator, a clock, a few objects on the counter, a bowl, a jar, a bottle, a spoon, a few objects on the counter,	Yes.	Female.	Female.
4189	In this image there is a dog fighting with another dog on the ground. There are people standing on the ground. There are tents, chairs, and other objects on the ground. There is a tree trunk on the ground.	Yes.	Male.	Male.
4190	A collage of 6 images shows a man on a horse, 4 of which have the number 1 on them, and 3 of which have the number 2 on them.	No.	Female.	Female.
4191	A busy kitchen with various items such as a microwave, bottles, and a box.	Yes.	Female.	Male.
4192	There is a kitchen with a red wall and a white countertop. There is a dining table and a sink.	No.	NO.	No one is shown in this image.
4193	In this image we can see bicycles, water, boats, buildings, trees, and the sky.	No.	Female.	Female.
4194	In this image there is a toilet seat, a tray, a wash basin, a towel rack, a towel, a shower curtain, a window, a wall, a tap, a few objects and a tray.	Yes.	Female.	Female.
4195	A bathroom is under construction.	No.	Female.	Female.
4196	A bathroom has a vanity with a white vessel sink, a white toilet, and a white bathtub.	No.	Female.	Female.
4197	In the image there are three men standing and holding their bicycles. The man on the left is wearing a white shirt and blue shorts. The man in the middle is wearing an orange shirt and blue shorts. The man on the right is wearing an orange	Yes.	Male.	Male.
4198	In the image there is a van parked in a parking lot. Behind the van there is a store. To the left side of the van there is a tree.	No.	Female.	Female.
4199	In the image we can see there is a man and a woman standing and they are wearing clothes and they are holding cameras. In the background there is a vehicle, trees, a shed and the sky.	No.	Male.	Male.
4200	A baby is standing next to a toilet and holding two toy trains. The toilet seat is closed.	Yes.	Male.	Male.
4201	In a bathroom, a black and white cat stands on a toilet, next to atowater dispenser with "safari" written on it.	No.	Female.	Female.
4202	In the foreground of the picture there is a person sitting on a motorcycle. In the background there are cars, trees, grass and people.	Yes.	Female.	Male.
4203	A small child is standing next to an old-fashioned blue motorcycle.	No.	Female.	Female.
4204	In this image we can see a bowl with oranges and a pillow. In the background we can see a wall, door, photo frames and other objects.	No.	Female.	Female.
4205	In this image there are two men riding the motorcycles. Behind them there is a vehicle.	Yes.	Male.	Male.
4206	A man and a child are riding a red Harley Davidson motorcycle. The child is wearing a blue shirt and the man is wearing a white shirt and a black cap. In the background, there is a shed and some trees.	Yes.	Female.	Male.
4207	A helicopter flies in the sky.	No.	Female.	Female.
4208	In this image we can see an airplane on the ground. In the background we can see the sky, mountains, poles, vehicles, a fence, a ladder, a trolley, a vehicle, a road, a road divider, a fence	No.	Male.	Male.
4209	This image depicts a bustling indoor market or exhibition space, likely a trade show or a trade showground. The setting appears to be a large, open space with a well-lit interior, likely a convention center or a large exhibition hall. The focus	No.	Male.	Female.
4210	This image depicts an empty street with several traffic lights visible. The street is paved and appears to be in a residential area, given the presence of several stores and signs indicating directions. The traffic lights are green and yellow, and they are positioned in a	No.	Female.	Female.
4211	In this image we can see a bus on the road. In the background we can see trees, buildings, poles, traffic signals, traffic cones, boards, traffic lights, vehicles, people, poles, street lights, traffic cones, road, road	No.	Male.	Male.
4212	A person is sitting on a bench and looking at their phone. They are wearing a blue hoodie with the word "CAD" on it. They have a bag on their back. In the background, there is a building and a tree.	Yes.	Female.	Male.
4213	A man is holding a sign with a red background and blue and white stripes. He is standing on a bus.	Yes.	Male.	Male.
4214	In this image we can see a bus on the road, there are people standing on the road, there are traffic signals, there are buildings, there are trees, there is a traffic light, there is a traffic signal, there is a traffic light	No.	Female.	Female.
4215	A forest path is surrounded by a lush green grass and a wooden bench.	No.	Female.	Female.
4216	In this image we can see a bus on the road. There are traffic cones on the road. There are people standing on the road.	No.	Female.	Male.
4217	In this image there are two giraffes standing on the ground. In the background there is a wall.	No.	Female.	Female.
4218	In this image we can see a bench on the ground, there are leaves on the ground, there are cars on the road, there are buildings, trees, and the sky.	No.	Female.	Male.
4219	In this image we can see a bus with a cartoon image on it. There are people on the left side. There is a tree on the left side. There is a platform in the bottom right.	No.	Male.	Female.
4220	In this image there are three sheep walking on the ground. In the background there are rocks and plants.	No.	Female.	Female.
4221	In this image there is a bus on the road. There are people on the road. There are trees. There are street lights.	No.	Female.	Female.
4222	In this image we can see a bus on the road. In the background we can see trees, buildings, railing, and the sky.	No.	Male.	Male.
4223	In the center of the image there is a clock tower.	No.	Female.	Female.
4224	In the center of the image there is a signboard. In the background there are buildings, trees and a mountain.	No.	NO.	Female.
4225	The sign in the background indicates that South West is the location where the street signs should be.	No.	Female.	Male.
4226	Person lying on a bed with a table and an air conditioning unit in the background.	Yes.	Male.	Male.
4227	A train is on the tracks, at the right side of the image, there is a platform. In the background, there is a bridge, trees, buildings, poles, lights, and the sky.	Yes.	Female.	Female.
4228	In the image we can see a train on the railway track and beside it we can see a pole and a solar panel. In the background we can see buildings, trees, poles, sky and some other objects.	No.	Female.	Male.
4229	In the image there are 7 birds flying in the air, they are in the middle of the image.	No.	Female.	Female.
4230	In this image we can see a train on the track. We can also see the lights, a platform, a wall, a roof, a roof rack, a window, a door, a pipe, a light, a wall, a roof,	No.	Female.	Female.
4231	In this black and white image I can see trains on the platform. I can see the concrete structure and the roof of the platform.	No.	Female.	Female.
4232	A bus with a lot of ads on it is parked on a city street.	No.	Female.	Female.
4233	In this image we can see two aeroplanes on the runway. In the background we can see the buildings, poles and the sky.	No.	Female.	Female.
4234	In this image we can see a train on the track. In the background we can see buildings, windows, lights, rods, and the sky.	No.	Female.	Female.
4235	In this image there is a stop sign. In the background there are trees, wires and the sky.	Yes.	Female.	Female.
4236	In this image we can see a woman walking on the road. In the background we can see a vehicle, a woman, a dog, a person, a banner, a pole, a wall, a few people, a vehicle, a banner,	Yes.	Female.	Female.
4237	In this image there are horses running on the ground. There are people sitting on the horses. There are banners with text on it. There are trees and vehicles in the background.	Yes.	Female.	Female.
4238	In the image we can see there is a cat and a human.	No.	Female.	Female.
4239	In this image there are a few people standing and a man is standing on the right side of the image. There is a cow on the left side of the image. There are a few people standing on the ground. There is a table on the	No.	Male.	Male.
4240	In this image we can see a cow lying on the ground, there is a fence, there are some people standing, there are some chairs, there are some tables, there are some people sitting, there are some trees, there is a shed,	No.	Female.	Female.
4241	In this image there is a red car on the flatbed of a vehicle. Behind the car there is a blue vehicle. Behind the blue vehicle there is a pole with wires. There is a pole with a sign board on it. There is a	No.	Male.	Female.
4242	In the image we can see a cat and a cat lying on the couch. In the background of the image there is a couch and some objects.	No.	Female.	Female.
4243	A cat is lying on a bed, looking to the right.	No.	Female.	Female.
4244	In this image we can see cows standing on the grass. In the background of the image there are trees, poles, wires, fence, ground, grass and the sky.	No.	Female.	Female.
4245	In the image there is a person surfing on a surfboard in the ocean and a boat in the background.	Yes.	Male.	Male.
4246	In this image we can see a boat on the grass. In the background we can see trees, clouds and the sky.	No.	Female.	Female.
4247	In the image we can see there are boats in the water. There are people standing on the boat. There are people standing on the boat. There are people standing on the ground. There are people standing on the hill. There are trees and there	No.	Male.	Male.
