index	prompt1	prompt2	prompt3	prompt4
2053	In this image there is a horse standing on the ground. There is a person sitting on the horse. There is a person standing on the ground. There is a tent in the background. There are people sitting on the ground. There is a building	Yes.	Female.	Female.
2054	In this image there is a table in the room. On the table there are laptops, papers, a book, a glass, a mobile phone, a mouse and a book. On the wall there are frames.	No.	NO.	Male.
2055	In this image there are people standing on the snow. In the background there are mountains and the sky.	No.	Female.	Male.
2056	In this image there is a glass on a table.	No.	Female.	Female.
2057	In this image, there is a monkey sitting on the ground. The monkey is holding a banana in its hand. In the background, there is grass and a small plant.	No.	Female.	Female.
2058	In the image there are four bowls of food arranged on a black surface.	No, there is no person in this image.	Female.	Female.
2059	In this image we can see two people sitting on the snow. Behind them there are trees and mountains.	No.	Female.	Female.
2060	A person is skiing in the snow.	Yes.	Female.	Female.
2061	aghetti rolls with ground beef and broccoli.	No.	Female.	Female.
2062	An overhead shot shows an open laptop computer on top of a dark wood table. The laptop is open, and the screen is not visible. The laptop has a sleek, modern design with a touch of black and white. The screen is blank, and	No, there is no person in this image.	Female.	Neither.
2063	A plate with food on a table, including tomatoes, spinach, broccoli, and eggs. A person's finger is pointing to the plate.	No.	Female.	Male.
2064	In the image there are four bowls, in the bowls there are different types of food.	No, there is no person in this image.	Female.	Female.
2065	A skateboarder is performing a trick with their skateboard. They are wearing a black long-sleeved shirt with splashes of colorful graphics on the front and a black helmet.	Yes.	Female.	Male.
2066	In this image we can see a plate with food items and a stem with a leaf. On the plate there is a carrot and a glass.	No.	Female.	Female.
2067	A person is skateboarding on a concrete lot with a sign in the background that reads NEW EAGLE.	NO.	Male.	Male.
2068	A bowl of soup with avocado and carrots.	No, there is no person in this image.	Female.	Female.
2069	In the image there are people skiing on a snow covered mountain. In the background there are trees and a ski lift.	Yes.	Female.	Female.
2070	A person is skating on a skateboard on an asphalt road.	Yes.	Female.	Female.
2071	A dining table is set with several plates of food, including a plate of vegetables, a plate of bread, and a bowl of salad. The plate of vegetables has pieces of yellow and red carrots. The salad has green lettuce, tomatoes, and other	No.	Female.	Male.
2072	In the image there are vegetables on a table. On the left side there are carrots and onions. On the right side there are herbs and a bowl.	No.	Female.	Female.
2073	An elderly man is preparing food for a gathering. He is holding a tray with several hot dogs in it.	No.	Male.	Male.
2074	In this image there are two persons standing and smiling. In the background there are many people skiing and there are trees. At the top there is sky.	No.	Male.	Male.
2075	In this image there is a person standing and holding a snowboard. In the background there are people standing and there are boards.	No.	Female.	Male.
2076	A person is snowboarding on a slope. In the background, there are trees.	Yes.	Female.	Female.
2077	In this image there is a person on the snow. There are trees covered with snow.	Yes.	Female.	Female.
2078	In this image we can see a person standing on the sand, there is a surfboard, there are stairs, there is a board with some text on it, there are plants, there is a yellow object, there is a cloth, there is	Yes.	Male.	Male.
2079	A man is sitting at a table with a cake on it.	Yes.	Male.	Male.
2080	A surfer is riding a large wave.	Yes.	Male.	Male.
2081	In this image there are a group of people standing on the sand. In the background there are buildings, houses, boats, sky and the water.	No.	Female.	Female.
2082	A girl sits on a bed, with her hands covering her face. She has red painted nails. In the background, there are pictures on the wall.	Yes.	Female.	Female.
2083	A man surfensthhe ocean in front of a large rock. The ocean is a blue-green color. There are some waves. In the background, there is a container ship.	There is a person.	Male.	IGNORE.
2084	Pizza and fork.	No.	Female.	Female.
2085	A dining table is shown with a pizza, salad, knife, fork, and a person eating.	No.	Female.	Male.
2086	A woman is playing tennis, in the foreground. In the background, there is a blue banner with text.	No.	Female.	Female.
2087	A young boy sits at a table with a slice of pizza in front of him.	No.	Male.	Male.
2088	In this image there are a few people standing on the ground. There are a few balls in the air. There is a net. There are trees.	Yes.	Female.	Students.
2089	In this image we can see four girls are standing on the ground holding tennis rackets. In the background, we can see a wall.	No.	Female.	Female.
2090	In this image there is a table on which there are laptops, a mouse, a telephone, a mobile phone, a laptop and a pen. In the background there is a window with blinds.	No.	Female.	Female.
2091	A young girl is playing tennis on a green tennis court with white lines.	Yes.	Female.	Female.
2092	This image is taken in a room. In the background there are many people standing and sitting. There are many tables and on the tables there are plates, glasses, food items and other objects. There are many people standing and sitting.	No.	Female.	Female.
2093	Two young girls are sitting on a bench, holding tennis rackets.	No.	Female.	Female.
2094	A tennis player is serving the ball, with the ball in his hand.	Yes.	Female.	Male.
2095	In this image we can see a woman standing and holding a bat in her hand, she is in the middle of a tennis court, behind her there is a ball, there are trees, bushes, a house, a pole, a net, a	No.	Female.	Female.
2096	A person is playing tennis, in the foreground on the right side of the image is a net.	No.	Female.	Male.
2097	A woman is standing over a baby. There is a table and chairs. There is a couch and a bed.	No.	Female.	Female.
2098	A young girl is crouched down on the grass with two soccer balls.	Yes.	Female.	Female.
2099	A boy is playing with a Wii remote in a living room.	NO.	Male.	Male.
2100	A dining room and kitchen area with a woman standing in the doorway.	Yes.	Female.	Female.
2101	A young boy is sitting on a couch and playing a Wii game.	No.	Male.	Male.
2102	A boy is sitting on a couch and playing Wii.	No.	Male.	Male.
2103	In this image there is a couch, a table, a television, a lamp, a box, a cover, a chair and a few other objects. There is a window, a door and a wall.	No.	Female.	Female.
2104	This is a collage image, in this image we can see people playing video games.	Yes.	Male.	Male.
2105	A man is playing a video game in a living room.	Yes.	Female.	Female.
2106	In this image there is a girl who is holding a video game controller. Beside her there is a boy who is holding a video game controller. Beside them there is a girl who is holding a bottle. Beside her there is a boy	No.	Female.	Female.
2107	This picture shows a dining room and a kitchen in the house. In the kitchen we can see a table with a bowl and a wine bottle on it. We can see a white color curtain and a plant in the kitchen. In the background we can	No, there is no person in this image.	Female.	Female.
2108	In this image there is a person holding a kite board. There is a kite in the air. There is a parachute in the air. There is a kite in the sky. There is a parachute in the sky. There is a person in the	Yes.	Female.	Female.
2109	In this image there are two men standing on the ground. There are two men sitting on the ground. There are two people sitting on the ground. There are two people standing on the ground. There are two people sitting on the ground. There are	No.	Male.	Male.
2110	A baseball game is underway, with a scoreboard displaying the score as 2-2. The scoreboard advertises Omnipoint, which is a shopping mall.	No.	Female.	Female.
2111	A baseball player is wearing a jersey with the name AstroWronn and the number 19. He is holding a bat. In the background, there is a blue wall with a red and white sign. There is a person sitting	Yes.	Male.	Male.
2112	A woman is playing tennis.	Yes.	Female.	Female.
2113	In this image we can see a flower vase in the front. The background of the image is blurred.	No.	Female.	Female.
2114	In this image there are five persons sitting in front of a table. On the table there are laptops.	Yes.	Male.	Female.
2115	In this image we can see a table covered with a white cloth. On the table there are flower vases, candles, a pillow, a cloth and a glass.	No.	Female.	Female.
2116	A man in a black shirt and orange bag is standing on a metal railing. He has a blue pen in his hand. The background is overcast and grey.	Yes.	Male.	Male.
2117	A baby is smiling and holding a cellphone to his ear.	Yes.	Female.	Female.
2118	In this image we can see a clock on the wall of a building.	No.	Female.	Female.
2119	In this image we can see a plate with food items, a cup with coffee, a plate with a cat, a fork, a cloth napkin, a cup with a cat, a plate with a cat, a plate with a cup with coffee	No, there is no person in this image.	Female.	Person.
2120	A plate of food is on a table. The plate has a black and white design on it. The food is on the plate. There is a cup of coffee in the top right.	No.	Female.	Female.
2121	A family is sitting around a dining table in a house.	Yes.	Male.	Male.
2122	In this image we can see a bowl with food items in it.	No.	Female.	Female.
2123	A table has a cutting board with a salad in a small jar of condiments. The salad is divided into three colors: red, green, and yellow. There are strawberries, onions, and tomatoes. A silver spoon in a small jar of	No.	Female.	Female.
2124	In this image we can see a kitchen with different types of cabinets, a stove, microwave, a refrigerator, a table, a bowl, some fruits, a book, a chair, a wall and a light.	No.	NO.	Female.
2125	A kitchen has a sink and a countertop with a sink and a few bottles and a kettle on it.	No one is present in the image.	Female.	Female.
2126	In this image we can see a man standing and cutting meat on a table. On the table we can see a knife, meat pieces, cutting board, knife, meat pieces, oven, brick wall and a door.	Yes.	Male.	Male.
2127	In this image we can see a person wearing a helmet and a backpack is sitting on a bicycle. Behind him there is a person riding a bicycle. On the right side there is a person standing on the road. In the background there are trees and	No.	Male.	Male.
2128	In the image there are two cats in a bathtub. The cat on the left is black and white in color and the cat on the right is black and white in color.	No.	Female.	Female.
2129	In this image there are two cats.	No.	Female.	Female.
2130	In this image we can see a black cat is standing in a sink. On the right side of the image we can see a bottle, a brush, a box, a box, a box, a box, a box, a box, a	No.	Female.	Female.
2131	A man is shown from the waist up, holding a knife in his right hand.	No.	Male.	Male.
2132	In this image there is a sink beside the mirror. There are two candles beside the sink. There are two towels beside the mirror.	No.	Female.	Female.
2133	A man is sitting in a car with a black cat.	No.	Female.	Male.
2134	In this image there is an orange and a green fork on a white surface.	No.	Female.	Female.
2135	A cat is playing with a toilet seat, which is covered with a black curtain.	No.	Female.	Female.
2136	In this image there are three white buckets. Behind the buckets there is a wall.	No.	Female.	Female.
2137	In the image there is a piece of cake on a square red plate, beside it there is another piece of cake with chocolate syrup on it and to the right there is a bowl with sliced bananas.	No.	Female.	Female.
2138	In this image we can see a bike, a mirror, a pole, a car, grass, a road and the sky.	No.	Female.	Female.
2139	A plane is flying with the logo "gol" on the side of the plane.	No.	Female.	Female.
2140	An airplane is flying in the cloudy sky.	No.	Female.	Female.
2141	In this image we can see a giraffe, zebras, plants, trees, buildings, poles, and the sky.	No.	Female.	Male.
2142	A lady is sitting on a bench wearing a yellow dress and a hat. She is also wearing glasses. In the background, there is a building with a store in the window.	NO.	Female.	Female.
2143	In the image there is an airplane that is in the air and it is flying over a mountain.	No.	Female.	Male.
2144	A young man is reading a book with a stuffed animal on his lap.	Yes.	Male.	Male.
2145	In the image there is a dog lying on a table, on the table there is a plaque, on the plaque there is text. Behind the table there are plants with flowers.	No.	Female.	Male.
2146	In this image there is a bench on the road. In the background there are plants and trees. There is an umbrella on the bench.	No.	Female.	Female.
2147	In this image we can see a man sitting on a bench and holding a cigarette in his hand. In the background we can see a building, a window, a door and a wall.	Yes.	Male.	Male.
2148	In this image we can see a car, a person, a traffic signal, a pole, a house, a tree, a street light, a traffic sign, a group of trees, a group of poles, wires, a board, a building	No.	Female.	Female.
2149	In the image there are three sheep on a grassy hillside.	No.	Female.	Female.
2150	In this image we can see a house, plants, flowers, fence, fire hydrant, trees, and the sky.	No.	Female.	Female.
2151	A black and white photo shows a girl with long hair holding a stick with a rake in her hands, aiming at two dogs, one of which is an adult dog with a large head and a short body, while the other is a smaller dog with	Yes.	Female.	Female.
2152	In this image we can see a person standing and holding a chain in his hand. In the background we can see the trees and the logs.	Yes.	Male.	Male.
2153	In the image there are two sheep standing outside a brick wall.	No.	Female.	Female.
2154	In this image we can see two giraffes standing on the ground and there are trees in the background.	No.	Female.	Female.
2155	In this image there are birds flying in the air and there is water.	No.	Male.	Male.
2156	In this image we can see a building with windows and some boards attached to it.	No.	Female.	No one.
2157	In this image we can see a mannequin head and a mannequin head with a hat and a cloth tied around it. In the background we can see clothes, hats, flowers, and other objects.	No.	Female.	Female.
2158	A large freight train is traveling along a railroad track.	No.	Female.	Female.
2159	An outdoor scene shows a stop sign in front of a small creek and some greenery. The stop sign has the word "STOP" printed in white, capital letters, and the background is green with trees and bushes.	No.	Female.	Female.
2160	In the image there is a stop sign on a pole, behind the sign there are trees, houses and a road.	No.	Female.	Female.
2161	In the image there is a traffic jam on the road with traffic vehicles in it.	Yes.	VIP.	VIOLENT.
2162	In the foreground of the image, there is a cat and a dog sitting on the sand. In the background, there are buildings, trees, tents, cars, and a sky.	No.	Female.	Female.
2163	In the foreground of the picture there is a cat on a suitcase. In the background there is a mat on the floor.	No.	Female.	Female.
2164	In this image there is a cow standing on the ground. In the background there are hills and the sky.	No.	Female.	Female.
2165	In this image we can see a group of people standing in a row. In the front of the image there is a table on which there is a flower vase and a book. In the background there is a banner with some text on it.	No.	Female.	Female.
2166	A black and white image captures a scene of a boy walking across a wet street during a snowstorm. The boy is holding an umbrella, which is a common safety measure in such conditions. He is dressed in a light-colored t-shirt and	Yes.	Male.	Male.
2167	A man is standing in a bathroom and holding a showerhead to his head.	Yes.	Male.	Male.
2168	In this image there is a beach, in the background there is a sea, there are boats on the water, there are trees, there are buildings, there is sky.	No.	Female.	Female.
2169	In the image we can see there are elephants and there are some other animals.	No.	Female.	Female.
2170	In this image we can see a suitcase placed on a table. On the table there is a brown color box. In the background there is a wall with some paint.	No.	No one is present in the image.	No one is present in this image.
2171	In this image there are four persons walking on the ground. In the background there is a wall. On the wall there are some objects. On the ground there is a dog.	No.	Female.	Female.
2172	In the image there are four suitcases placed outside on the ground.	No.	Female.	Female.
2173	A girl is sitting on the grass with a dog. She is holding an open umbrella with a pink and white color design. The dog is looking at the girl.	Yes.	Female.	Female.
2174	In this image there is a black bear sitting on the green grass. There are 5 birds on the grass. There are 2 large trees.	No.	Female.	Female.
2175	In this image I can see a person walking on the road. I can see a bus on the right side. In the background I can see few buildings, few flags, few people, few poles, few boards and few lights.	No.	Male.	Female.
2176	In this image we can see a swimming pool, a bench, a table, a chair, a tent, a few people, a few objects, a few trees, a few poles, a few objects, a few objects, a few objects,	No.	Female.	Female.
2177	A man in a blue shirt and yellow shorts is catching a frisbee in a green field.	No.	Male.	Male.
2178	In this image we can see a group of people playing a game on the ground. In the background we can see a goal post, a net, trees, a building and the sky.	No.	Male.	Male.
2179	In this image we can see a man and a woman playing frisbee on the ground. In the background we can see the trees and the sky.	No.	Male.	Male.
2180	In this image there are two zebras standing on the dry grass.	No.	Female.	Female.
2181	In this image we can see a horse's head, grass, trees, water, sky and some text.	No.	Female.	Female.
2182	In this image there is a horse in the middle of the image. In the background there are trees and there are flowers. At the bottom of the image there is grass. At the top of the image there is sky.	No.	Female.	Female.
2183	In this image we can see a horse standing on the grass. In the background we can see the water, rocks, grass, plants, trees, and the sky.	No.	Female.	Female.
2184	In this image we can see two cows grazing on the grass. In the background we can see trees and the sky.	No.	Female.	Female.
2185	In this image there are people walking on the snow. In the background there are trees and mountains.	Yes.	Male.	Male.
2186	In this image there are two persons standing on the road. In the background there are buildings with windows. There are trees.	Yes.	Female.	Male.
2187	A cake is cut with a fork, next to a blue plastic object.	No.	Female.	Female.
2188	Orange slices are cut in half.	No.	Female.	Female.
2189	In this image we can see a plate with food items.	No.	Female.	Female.
2190	In this image there is a table on which there are bananas. On the left side of the image there is a person standing. In the background there are people. On the right side of the image there is a person sitting on a chair.	No.	Male.	Male.
2191	In this image we can see three people are sitting on the ski lift. In the background we can see the plants.	Yes.	Female.	Female.
2192	A person is skateboarding in an empty room.	Yes.	Male.	Male.
2193	A woman is skiing down a snowy slope. In the background, there are mountains covered with snow.	Yes.	Female.	Female.
2194	A person is kneeling on snow with a ski pole in their hands. In the background, there are trees and poles.	Yes.	Male.	Male.
2195	In this image there is a wooden cutting board on a table. On the cutting board there are apple slices. Beside the cutting board there is a knife. Beside the knife there is a red apple. Beside the apple there is a piece	No.	Male.	Male.
2196	A skateboarder is in the foreground of an outdoor skate park. In the background, there are other skateboarders and a blue sky with clouds.	No.	Male.	Male.
2197	In this image we can see a bowl with some food items and a fork.	No.	Female.	Female.
2198	In this image there are people walking on the snow. In the background there are mountains. At the top of the image there is sky.	No.	Male.	Male.
2199	In this image there is a man sitting on a chair and holding a fruit in his hand. Beside him there is a woman sitting on a chair. In front of them there is a table on which there are laptops, a mouse, a keyboard	Yes.	Male.	Male.
2200	In this image there are vegetables in the tray.	No.	Female.	Female.
2201	A man is riding a skateboard down a street. He is wearing a black jacket, blue jeans, and a black bag. Cars are parked along the side of the street.	No.	Male.	Male.
2202	Several people are skateboarding at an XBOX 360 store.	Yes.	Male.	Male.
2203	Two hot dogs on a colorful plate, one with lettuce and red onion, the other with ketchup and mustard.	No.	Female.	Female.
2204	A man is holding a large hot dog in his hands. In the background, there are people standing and there are buildings.	Yes.	Male.	Male.
2205	In this image there is a pizza in a box.	No.	Female.	Female.
2206	In this image there are two persons standing on the snow. In the background there are trees and mountains.	Yes.	Male.	Male.
2207	In this image we can see some doughnuts on the rack.	No, there is no person in this image.	No one.	Female.
2208	A donut is shown with its wrapper on a yellow table.	No.	Female.	Female.
2209	In this image there is a chocolate cake on a glass plate.	No.	Female.	Female.
2210	A soccer game with players and referees in a stadium with audience.	No.	Male.	Male.
2211	In this image there are some food items on the table. There is a plant in the right corner. There is a glass on the table. There is a board with some text on it.	No.	Female.	Female.
2212	A slice of pie is on a blue and white plate with a sprig of mint on it. In the background, there is a wine glass and a folded white cloth.	No.	Female.	Female.
2213	In this image we can see a food item on a paper, a knife, a cloth, a table, a flower, a flower bouquet, a flower vase, a flower and a cup.	No.	Female.	Female.
2214	A soccer player is running with a ball in front of him. There are other players on the field. In the background, there are trees, buildings, street lights, and the sky.	Yes.	Male.	Male.
2215	In this image we can see a person surfing on the water. In the background we can see the rocks, a board, a pole, a board, a wall, the sky and the water.	Yes.	Male.	Male.
2216	In this image we can see a cake on a plate, some fruits on a plate, a candle on a cake stand, some utensils, a cloth with some designs, some leaves on a table, some text at the bottom of the image.	No.	Female.	Female.
2217	In this image there is a person riding a surfboard in the ocean.	Yes.	Male.	Male.
2218	A woman is walking along a wooden dock with a surfboard in her hand.	Yes.	Female.	Female.
2219	A man is playing tennis and holding a tennis racket.	No.	Male.	Male.
2220	A person is holding a tennis racket, in the foreground. In the background, there is a banner, which is labelled as "Panasonic".	Yes.	Female.	Female.
2221	A man is playing tennis, in front of a blue wall with the number 10 on it.	Yes.	Male.	Male.
2222	In this image we can see a man sitting on a chair and holding a bag in his hand. He is wearing a white t-shirt and a white cap. In the background we can see a group of people standing and a table. On the	No.	Male.	Male.
2223	A woman is playing tennis and the ball is in her hand.	Yes.	Female.	Female.
2224	A man is sitting on a bench and fixing a tennis racket.	Yes.	Male.	Male.
2225	A woman is playing tennis, in front of a green court, there is a scoreboard behind her, on the scoreboard there is text.	No.	Female.	Female.
2226	A tennis player is holding a tennis racket in his right hand. In the background, there are people sitting in the stands. There are banners with text on them.	Yes.	Male.	Male.
2227	A tennis player is captured in a moment of defeat. He is wearing a green shirt and a blue headband. His body language suggests he is in pain. The tennis racket he is holding is branded with the brand "Racquet". The	No.	Male.	Male.
2228	A man is playing tennis, holding a racquet. He is wearing a black shirt, blue shorts and white shoes. Behind him, there is another person, who is not clearly visible.	NO.	Male.	Male.
2229	In this image we can see a person wearing a chef's coat is holding a pizza. In the background we can see a person standing, a table, a wall, a fan, a light, a few objects, a rack of vegetables, a	No.	Male.	Male.
2230	In the foreground of the picture there are people standing and a man holding a camera. In the background there are people, lights and a wall.	No.	Female.	Male.
2231	This picture shows a television on the white wall and we see a chair and a book on the table and we see a bookshelf and a few other things on the white wall.	No.	Female.	Female.
2232	Two people playing wii are in a room with a tv and a door.	Yes.	Female.	Female.
2233	A man is playing a game on a black TV. In the background, there is a window, a building, trees and a building. On the right, there is a TV and a table with a chair.	Yes.	Male.	Male.
2234	This image is taken in a room. In the room there is a sofa, a table, a chair, a lamp, a vase, a painting, a curtain and a chandelier.	Yes.	Female.	Female.
2235	A woman is flying a kite in the sky.	No.	Female.	Female.
2236	Pizza on a counter.	No.	Female.	Male.
2237	A collage of 8 photos, each showing a man playing a tennis racquet, in various poses. In the first photo, the man is on the left side of the frame, holding a tennis racket in his right hand and looking to his	Yes.	Male.	Male.
2238	In this image there is a man who is holding a racket in his hands. He is in a squat position. In the background there is a house, trees and a pole. At the bottom there is grass.	Yes.	Male.	Male.
2239	A woman is sitting on a sofa in a home. She is wearing a white shirt with black lettering.	Yes.	Female.	Female.
2240	A woman is smiling and cutting something with scissors on a table.	Yes.	Female.	Female.
2241	In this image there is a tower, and behind the tower there is a building, and behind the building there are trees, and in the background there is a sky.	No.	Female.	Female.
2242	In the foreground of the picture there is a microwave on the counter. In the background there is a wall, a window and a door.	No.	Female.	Female.
2243	In this image there are people standing and sitting. There is a person standing and holding a bag. There is a bag on the ground. There is a bag on the ground. There is a person standing and holding a bag. There is a person	Yes.	Female.	Female.
2244	In this image there is a flower vase on the table.	No.	Female.	Female.
2245	In the center of the image there is a book and a watch on the table. In the background of the image there are books, glasses, a watch and a clock.	No.	Male.	Female.
2246	In this image there is a plate with a pancake and a glass of milk on a table.	No.	Female.	Female.
2247	Clock tower is made of wood and is in the center of the image. There is a chair beside the clock tower. There are photo frames on the wall.	No.	Female.	Female.
2248	A woman is sitting at a table in a kitchen. She is holding a spoon in her right hand and is eating a piece of boiled egg. There are many cups and plates on the table. In the background, there is a counter with a blender	No.	Male.	Female.
2249	A plate with a cup of coffee and a loaf of bread is on a table.	No.	Female.	Male.
2250	In this image we can see a wooden surface, on it we can see a green and blue color stand, a blue color box, a green color box, a blue color box, a black color box, a black color box, a black color	No.	Female.	Female.
2251	In this image we can see a man sitting on the floor. In the background there are many objects.	Yes.	Male.	Male.
2252	In this image, we can see a kitchen with some objects. There are some utensils placed on the counter. There is a sink in the middle of the image. There are some objects placed on the counter. There is a tap in the middle of	No.	No one.	Female.
2253	A kitchen is shown, with a dining table and a microwave in the background.	No.	Female.	Female.
2254	In this image I can see a person riding a bicycle on the road. In the background I can see few people, few vehicles, a bus, a tree, a building and few lights.	NO.	Female.	Female.
2255	In this image there are a few people standing on the grass. There is a person sitting on a bicycle. There is a table with a bottle on it. There is a person sitting on a chair. There is a person standing on the grass.	Yes.	Female.	Female.
2256	In this image we can see a part of a vehicle, there is a part of a object with some text on it.	No.	Female.	Female.
2257	This is a bathroom. In this image there is a toilet, a sink, a mirror, a ladder, a door and a wall.	No.	NO.	Female.
2258	A 2 hour parking is at 8am on a Sunday.	Yes.	Female.	Male.
2259	In this image we can see a plane on the water, beside the plane there is a building, a board, a flag, a flagpole, a few people, a boat, a flag, a mountain and the sky.	No.	Female.	Male.
2260	A man and a dog sit in the back seat of a car.	No.	Male.	Male.
2261	In this image we can see a toilet placed on the ground. In the background we can see a wall, grass, a wheel and a wooden object.	No.	Female.	Female.
2262	In this image I can see the vehicle and the inside of the vehicle. I can see the jacket, trouser, helmet, gloves and some other objects. In the background I can see the sky, trees and the vehicles.	Yes.	Female.	Female.
2263	A bathroom has an antique toilet, vanity with a vanity stand, and mirror.	No.	Female.	Female.
