index	prompt1	prompt2	prompt3	prompt4
1048	In this image we can see a red color stop sign. In the background we can see a few trees, buildings, a cloudy sky and the ground.	No.	Female.	Female.
1049	In this image we can see a train on the track. In the background there are buildings, trees, poles, lights, grass, and the sky.	No.	Female.	Female.
1050	In this image there is a person standing on the train. There is a train on the track. There are trees in the background.	Yes.	Male.	Male.
1051	A model train is passing near some trees.	No.	Female.	Female.
1052	In this image we can see a black steam engine, a person standing beside it, a fence, a bucket, a pole, a building, a person standing beside the building, a board, a person standing beside the building, a bucket, a	No.	Male.	Male.
1053	In this image we can see a building with many windows and a light pole. In the background we can see a bridge, a shed, a building, a road, some plants, a board, some poles and the sky.	No.	Female.	Female.
1054	In this image there are two women standing. One woman is holding a red object. In the background there are few people standing. There is a tree.	Yes.	Asian.	Asian.
1055	In the image we can see there is a cat sitting on the chair and there is a person holding a food item in his hand. In the background there is a table, chair, guitar, and a person's hand.	Yes.	Female.	Female.
1056	In this image there are vehicles parked on the road.	Yes.	Male.	Male.
1057	In this image we can see a truck on the ground, there are some plants and trees in the background.	NO.	Female.	Female.
1058	In the foreground of the image, there is an orange cat lying on a white paper. In the background, there is a wooden door and a banana.	No.	Female.	Female.
1059	In the image there is a cat sitting on a sofa and behind the cat there is a window with blinds.	No.	Female.	Female.
1060	In this image we can see a cat on the sofa, on the table we can see a laptop, a cup, a mobile phone, a book, a chair, a cloth and some other objects.	No.	Female.	Female.
1061	In this image we can see a cat on the couch, laptop, a glass, a cup, a remote, a table, a chair, a cupboard, some objects on the table, a carpet, a wall, a door, a lamp	No.	Female.	Female.
1062	In this image there are poles, traffic signals, traffic cones, traffic signals, traffic cones, traffic signals, traffic cones, traffic cones, traffic cones, traffic cones, traffic cones, traffic cones, traffic cones, traffic cones, traffic cones, traffic	No.	Male.	Female.
1063	In the foreground of the picture there is a cat on the bed. In the background there is a laptop, a pillow and a cupboard.	No.	Female.	Female.
1064	In the image there is a dog standing on the floor of a ship, near to a red life preserver, which is in mint condition. Behind the dog there is a green pipe. In the background there is a red and white tiled roof	No.	Female.	Female.
1065	In this image there is a man who is playing a violin.	Yes.	Male.	Male.
1066	This image is taken in a room. In the background there is a wall with a photo frame and a curtain. There is a staircase with a railing. There are bookshelves with books. There are people sitting on chairs. There are people	No.	Female.	Female.
1067	A man is in a car, looking to the right.	Yes.	Male.	Male.
1068	In the image we can see there is a man who is sitting on the water and there is an umbrella.	Yes.	Male.	Male.
1069	In this image we can see elephants in the forest.	No.	Female.	Female.
1070	In this image there are two men standing and shaking hands. Behind them there is a person wearing a uniform and standing. Behind them there is a person standing and smiling. In the background there is a wall.	Yes.	Male.	Male.
1071	In this image there is a table on the wooden deck with two chairs on the wooden deck. In the background there are trees and a railing.	No.	Female.	Female.
1072	In this image there are four people in a kayak. In the background there is a wall.	No.	Male.	Male.
1073	In this image there are two elephants standing on the ground. Behind them there is a wire fence. In the background there are trees. At the top of the image there is the sky.	No.	Female.	Female.
1074	In this image we can see a statue of an elephant. There are people standing on the path. There are bells and a bell on the elephant. There are lights and a building in the background.	No.	Female.	Female.
1075	In the image we can see there is an elephant and a person is standing near it.	Yes.	Male.	Male.
1076	In the image there is a large grey elephant standing in the water and beside it there is another elephant in the water and a third elephant in the water and a fourth elephant in the water and a fifth elephant in the water and a sixth elephant in the	No.	Female.	Female.
1077	A woman is holding an umbrella and smiling. She has brown hair. She is wearing a striped top, orange cardigan, and a red jacket. She is carrying a black purse. There are two people walking on the left side. There is a	Yes.	Female.	Female.
1078	In this image there are people riding elephants. In the background there are trees. At the top there is the sky.	No.	Male.	Male.
1079	In the foreground of the picture there are two men standing and holding an umbrella. In the background there is a wall with a stone carving and a board. On the left there is a book and a man is holding an object.	No.	Male.	Male.
1080	In this image there is a person riding a bicycle on the road. There are people walking on the road. There is a building in the background. There is a red color sign board on the building. There is a traffic signal on the building.	NO.	Female.	Female.
1081	A small child is holding an umbrella with a cow on it.	Yes.	Female.	Female.
1082	In this image there are two brown bears sitting on the ground. Behind them there is a metal fence. On the left side there is a plant.	No.	Male.	Female.
1083	In this image there are two zebras in the center of the image. There are trees in the background.	No.	Female.	Female.
1084	In this image I can see a building and a group of people. I can see a horse and a cart. I can see smoke and a building. I can see the sky.	No.	Female.	Female.
1085	A woman is sitting on a chair with two candles on her head and is holding them in her hands.	Yes.	Female.	Female.
1086	In the image we can see there is a horse and there is grass. In the background there are trees and there is a fence.	No.	Female.	Female.
1087	A plate of food, including a sausage, corn, and other vegetables.	No.	Female.	Female.
1088	In this image there is a man standing and smiling, he is wearing a red and white color saree, he is wearing a watch on his left hand, he is wearing a cap, he is holding a paper, he is wearing a black	No.	Female.	Female.
1089	In the foreground of the picture there are bananas, a black object, a mobile, a calculator, a toy, a plastic box and a brown object. In the background there is a wall.	No.	Female.	Female.
1090	In this image there are people playing baseball. There are trees in the background. There is a fence in the background. There is a house in the background.	Yes.	Male.	Male.
1091	In this image there is a table on which there are plates, knives, forks, and a glass of wine.	No.	Female.	Female.
1092	In this image we can see a person standing on the ground, a person holding a bat, a person standing on the ground, a person standing on the ground, a person standing on the ground, a person standing on the ground, a person standing	No.	MALE.	Male.
1093	The image shows a plate of food, which appears to be a dish of chicken, vegetables, and possibly some other ingredients. The dish is primarily composed of chicken, which is cooked and served in a thin, golden-brown sauce. The chicken is	No.	Female.	Female.
1094	A man is skateboarding on a concrete surface. He is wearing a grey t-shirt with some writing on it and a blue cap. In the background, there is a building with some designs on it.	Yes.	Male.	Male.
1095	In this image there are many vegetables and fruits arranged in a barrel. There are people standing and few are holding some objects.	No.	Female.	Female.
1096	A black and white cat is laying on a wooden desk with a Macbook and a mouse pad.	No.	Female.	Female.
1097	In this image there are two persons on the snow.	Yes.	Male.	Male.
1098	A man is eating a hot dog in front of a Stanley sign.	Yes.	Male.	Male.
1099	A man is skating on a ramp, with another person in the background.	Yes.	Male.	Male.
1100	In this image we can see doughnuts on a grill.	No.	Female.	Female.
1101	In this image there is a cloth on the table. On the cloth there is a glass of milk.	No.	Female.	Female.
1102	A small child is sitting on a chair, holding a piece of bread.	No, there is no person in this image.	Female.	Female.
1103	A girl is eating a cupcake.	No.	Female.	Female.
1104	In this image we can see two persons are playing football on the ground. In the background we can see the fence, trees, a car, a tent, a person holding an umbrella, a person wearing a cap, a person wearing a hat,	No.	Female.	Female.
1105	In this image there is a person standing in the middle of the image. There is a surfboard in the middle of the image. There is a rope in the middle of the image. There is water in the middle of the image. There is	Yes.	One.	Man.
1106	A surfer is on a surfboard in the ocean.	Yes.	Male.	Male.
1107	In this image we can see a person wearing a cap and holding a knife in his hand. In front of him there is a box. On the box there is a pizza. Beside him there is a person wearing a cap and holding a knife	No.	Female.	Male.
1108	In this image we can see a cat on the bed. In the background of the image there is a wall.	No.	Female.	Female.
1109	A pizza has mushrooms, peppers, and onions on it.	Yes.	Male.	Male.
1110	A woman is hitting a tennis ball with a racket, while another person sits on a chair behind her.	No.	Female.	Female.
1111	A man in a red shirt and sunglasses is playing tennis. A woman in a white dress is watching.	Yes.	Female.	Female.
1112	A tennis player is swinging a racket, hitting a tennis ball. Behind the player, there is another person in red, standing behind a chain-link fence.	Yes.	Male.	Male.
1113	In this image we can see a group of people playing a game on the ground. In the background we can see a building, trees, poles, plants, grass, and the sky.	Yes.	Female.	Female.
1114	In this image we can see two people standing and holding a remote in their hands. In the background we can see a television, a table, a cupboard, a wall, a painting and a door.	Yes.	Female.	Female.
1115	In this image we can see a group of people sitting on the sofa. In the front of the image we can see a man holding a remote. In the background of the image we can see a person holding a remote.	No.	Male.	Male.
1116	There are two brown bean bags in the middle of the room. There are two sofas in the middle of the room. There is a sofa with a pillow on it. There is a table with a lamp on it. There is a	No.	Female.	Female.
1117	In this image we can see a man standing and holding a wii remote in his hand. He is wearing a red and black color shirt and blue jeans. In the background we can see a man sitting on a sofa and a woman lying on	Yes.	Male.	Male.
1118	This is a picture of a room with a table, sofa, clock, television, and some other objects.	No.	Female.	Female.
1119	A keyboard has been taken apart, but the keys are not fully visible.	No.	Female.	Female.
1120	In the image we can see there are people sitting and standing. There are people sitting and standing. There are people playing baseball. There is a person standing. There is a railing. There are people sitting and standing. There are trees. There	No.	Male.	Male.
1121	A baseball player is about to swing, facing away from the camera. Behind the player, there is a chain-link fence, and another person in a red shirt behind the fence.	No.	Female.	Female.
1122	In this image there is a person wearing a red t-shirt and black helmet. He is holding a bat. Behind him there is a person wearing a red t-shirt and black helmet. He is holding a bat. Behind him there is a	No.	Female.	Female.
1123	A man and a woman are playing tennis.	Yes.	Female.	Female.
1124	In this image we can see a person sitting on a chair and holding a book. Beside her there is a person standing. In the background there is a building and a person sitting on a chair.	Yes.	Female.	Female.
1125	In this image we can see a person holding a tennis racket. In the background we can see a fence, trees, poles, sky and some other objects.	No.	Female.	Female.
1126	A person is in front of a mirror. On the left side of the image there is a box with a book. On the right side of the image there is a mirror.	No.	Male.	Male.
1127	A man is working on a computer.	Yes.	Male.	Male.
1128	In the image there is a white teddy bear which is lying on a bed.	No.	Female.	Female.
1129	A black and white image shows a woman sitting on a bed, looking out a window. She is wearing a headband and holding a remote control. In the background, there is a window with a blind, a hanger, clothes, a box	Yes.	Female.	Female.
1130	A man is laying on a bed with a pillow on it. He is holding a laptop. Behind him, there is a table with a computer on it. On the table there are some objects.	No.	Female.	Male.
1131	In this image there is a man and a woman standing in front of a body of water. There are boats on the water. There are people sitting on the boat. There is a boat in the water. There are buildings in the background.	No.	Female.	Female.
1132	An elderly man holds a cell phone in his right hand. In the background, there is a sink, a flower pot with flowers, a refrigerator, a window, cabinets, a counter, a sink, a microwave, a refrigerator, a potted	Yes.	Female.	Female.
1133	An oven with a stainless steel door is on a stove top. There is a paper towel on the floor.	No.	Female.	Female.
1134	In this image there is a clock tower on the right side of the image. There are buildings on the left side of the image. There are clouds in the sky.	No.	Female.	Female.
1135	This image shows a collection of colorful and artistic items mounted on a plain white wall. The items are arranged in a somewhat random pattern, with some hanging on hooks and others placed on shelves or hanging from hooks. The items include various objects such as v	No.	Female.	Female.
1136	In this image we can see a person walking on the road, there are some birds, there are some people standing on the road, there are some buildings, there is a tower, there is a tree, there is a blue sky.	Yes.	Male.	Male.
1137	In the center of the image there is a tower. At the bottom of the image there is a ground. In the background there are buildings. At the top of the image there is sky.	No.	Female.	Female.
1138	A girl is holding a stuffed animal in her arms. She is wearing a blue top with stars on the front. In the background, there are many people standing around tables.	NO.	Female.	Female.
1139	In this image there is a counter in the middle of the image. On the counter there are two objects. There are two objects in the middle of the image. There are two objects in the middle of the image. There are two objects in the	No.	Female.	Female.
1140	In this image there are two men sitting on chairs and there are some food items on the table.	No.	Male.	Male.
1141	This image is taken in a restaurant. In the foreground of the picture there are people sitting on chairs. In the center of the picture there is a table on which there are plates, glasses, spoons, forks, knives and other objects. In the	No.	Female.	Female.
1142	A man is sitting at a desk with a guitar. He has a computer and speakers.	Yes.	Male.	Male.
1143	In this image there are people standing on the road. In the background there are vehicles on the road. There are buildings and trees. There is a pole with a traffic signal.	Yes.	Female.	Male.
1144	A bathroom has a tub, a toilet, and a corset rack.	No.	GIRL.	GIRL.
1145	In this image we can see a group of people riding bicycles on the road. In the background we can see buildings, trees, poles, boards, lights, vehicles, plants, and the sky.	No.	Male.	Male.
1146	In the foreground of the image there is a cat sitting on a book stack. In the background of the image there are people, buildings, lights, glass windows, tables, chairs, books, objects on the floor and the sky.	No.	Female.	Female.
1147	In the image there is a very old car which is grey in color and it has a lot of luggage on it. Behind the car there are a few people standing and a few more cars. Behind them there are a few trees.	No.	Female.	Male.
1148	In this image there is a cat and a dog standing on the road. In the background there are many people standing on the road.	No.	Female.	Female.
1149	In this image we can see a bird on the top of a pole. In the background we can see the sky with clouds.	No.	Female.	Male.
1150	In this image we can see a motorcycle on the road. In the background there is a tent and a car.	No.	Male.	Female.
1151	There is a toilet in the center of the image. There is a sink beside the toilet. There is a black object on the right side of the image.	No.	Female.	Female.
1152	In this image there are some vehicles parked on the road. In the background there are some flags and some trees.	No.	Male.	Female.
1153	In this image we can see a person wearing a cap and holding a camera. In the background of the image there is a television and a wooden floor.	Yes.	Male.	Male.
1154	In this image we can see an airplane on the runway. In the background there is sky with clouds.	No.	Female.	Female.
1155	In the image there is a blue sky with a plane in the top right corner.	No.	Female.	Female.
1156	In this image we can see some animals on the ground. We can also see some trees, hills, and the sky.	No.	Female.	Female.
1157	In this image there are three persons sitting on a chair. In the background there are cars.	No.	Female.	Female.
1158	In this black and white image we can see a plane on the mountains. In the background we can see the clouds.	No.	Female.	Female.
1159	In this image we can see a person sitting on a bench. In the background we can see plants, flowers, trees and the ground.	Yes.	Female.	Female.
1160	In this image there is a building with many windows. There are two red color lights attached to the building. There are two trees in the bottom right corner.	No.	Female.	MALE.
1161	In this image we can see a giraffe walking on the ground. In the background we can see trees, grass, rocks, and the sky.	No, there is no person in this image.	Female.	Female.
1162	In this image there is a building with a sign board, there are traffic signals, there are trees, there is a cloudy sky.	No.	Female.	Female.
1163	In this image there are two animals standing on the ground.	No.	Female.	Female.
1164	An old rusty fire hydrant with the number 2 is in the foreground. Behind the hydrant, there is a building with many windows and a crosswalk.	No.	Female.	Female.
1165	In this image we can see a sheep standing on the grass.	No.	Female.	Female.
1166	In this image there are sheep on the grass. In the background there are trees.	No.	Female.	Female.
1167	In this image there is a hen in the front. The background of the image is blurred.	No.	Female.	Female.
1168	In this image we can see a building, a clock, a sign board, a tree, a pole, a street light, a few cars, a sign board, a building, a group of trees, a group of poles, a group of	No.	Female.	ANON.
1169	In the image we can see there are two cases of guitars and one of them is placed on the ground. On the left side there is a person standing and there is a poster with text and a musical instrument.	No.	Male.	Male.
1170	In this image we can see a train on the railway track. There is a person standing on the right side of the image. There are some lights on the poles. There is a platform at the bottom of the image. There is a dark background	No.	Female.	Female.
1171	In this image we can see a train on the track, beside the train there is a fence, poles, lights, sign boards, and a building.	No.	Female.	Female.
1172	In this black and white image we can see a train on the railway track. In the background we can see a building and a tree.	No.	Female.	Female.
1173	In this image we can see a train on the track. There is a platform in the image. There is a board on the platform. There is a person standing on the platform. There is a person walking on the platform. There is a building	No.	Female.	Female.
1174	In this image we can see a train on the railway track, there are some plants, trees, poles, lights, benches, a train, a platform, a platform with a yellow line, a platform with a bench, a train, a platform	No.	Female.	Female.
1175	In this image we can see a train on the railway track. In the background, we can see trees, sheds, poles, grass, and the sky.	No.	Female.	Female.
1176	In the image there are three people standing on the railway platform, behind them there is a train.	Yes.	Female.	Female.
1177	In the foreground of the picture there is a train on the track. In the background there is a platform and there are buildings. At the top there is a bridge. At the top there is a sky.	No.	Female.	Female.
1178	In this image we can see trains on the railway track. There are poles, wires, boards, and a light. There are buildings, trees, and the sky in the background.	No.	Female.	Female.
1179	In this image we can see a train on the track, there are stones, grass, trees, a fence, a signboard, a pole, a vehicle, the sky and the clouds.	No.	Female.	Female.
1180	In this image we can see a train on the track. In the background we can see a building, a shed, a board, a pole, a sky and the clouds.	No.	Female.	Female.
1181	In this image we can see a train on the track. In the background there are trees, sky and a blue cloudy sky.	No.	Female.	Female.
1182	In this image we can see a train on the track. In the background there are buildings, poles, trees, vehicles, and the sky.	No.	Female.	Female.
1183	In this image we can see a train on the railway track. There are people standing on the platform. There are trees and buildings in the background. There is a fence on the right side. There are lights on the poles.	Yes.	Female.	Female.
1184	In the foreground of the image, there is a cat sitting on a white cloth. Behind the cat, there is a cage. On the cage, there is a sign with some text.	No.	Female.	Female.
1185	A cat is sitting on the ground and holding something.	No.	Female.	Male.
1186	In this image we can see a yellow vehicle, there are some people standing on the road, there are some vehicles, there are some trees, there are some houses, there is a shed, there is a tree, there is a sky.	Yes.	Male.	Male.
1187	In this image we can see a cat, a cup, a table and a wall.	No.	Female.	Female.
1188	In this image there are animals on the grass. In the background there are trees. At the top there is the sky.	No.	Female.	Female.
1189	A man is laying on a bed with two cats.	Yes.	Male.	Female.
1190	In this image there are many cows grazing on the grass. In the background there are trees and the sky is clear.	No.	Female.	Female.
1191	In this image we can see a dog lying on the grass, a wooden boat on the grass, a water body and a bird on the boat.	No.	Female.	Female.
1192	In this image there is a cow standing on the grass, there is a person standing on the grass, there are mountains in the background, there are clouds in the sky.	No.	Male.	Male.
1193	In this image there is a person holding a cup in his hand. In the background there is a wall. There is a clock on the wall.	Yes.	Female.	Male.
1194	In this image we can see a person in a green color dress is holding an umbrella. In the background we can see the buildings, trees, vehicles, poles, lights, and the sky.	Yes.	Female.	Female.
1195	In the image there are five suitcases lined up on the ground, all of them are of the same color and size.	No.	Female.	Female.
1196	In this image there are people walking on the road. In the background there are cars, trees, poles, wires and the sky.	Yes.	Male.	Male.
1197	In this image there is a dog standing on the floor, there are two dogs standing on the floor, there are two cups on the floor, there are two bowls on the floor, there are two plates on the floor, there are two cups on	No.	Female.	Female.
1198	In this image there are legs of an animal.	No.	Female.	Female.
1199	In the center of the image there is a bear. In the background there are trees.	No.	Male.	Male.
1200	A black dog is laying on a rug. In the background, there is a couch and a table with a book on it.	No.	Female.	Female.
1201	In this image, there are three zebras. The zebras are eating. Behind them, there is a fence. In the background, there are trees, rocks, plants, and a rock.	No.	Female.	Female.
1202	In this image there are two zebras. The zebra on the left is eating.	No.	Female.	Female.
1203	In this image there are people riding horses on the beach. In the background there are boats on the water. At the top of the image there are clouds in the sky.	Yes.	Female.	Female.
1204	In this image we can see two horses are walking on the grass. In the background we can see trees, hills and the sky.	No.	Female.	Female.
1205	In this image there are two horses standing in the middle of the image. Behind the horses there is a fence. In the background there is a tree and the sky.	No.	Female.	Female.
1206	In this black and white image we can see a person is riding a horse and holding the reins. In the background we can see trees, sky and the fence.	Yes.	Female.	Female.
1207	In this image we can see a person riding a horse. In the background we can see a building, a flag, a flag pole, a person standing, a person sitting on a chair, a person standing, a flag, a fence, a	Yes.	Female.	Female.
1208	In this image we can see a person riding a horse jumping over a hurdle. In the background we can see a wooden shed, a person standing, a board, a wall and a sky.	No.	Female.	Female.
1209	In this image we can see a person riding a horse in the saddle. In the background we can see the wooden shed, poles, boards, and the sky.	Yes.	Female.	Female.
1210	In this image there are horses and a man standing on the ground. In the background there are trees and hills.	No.	Male.	Male.
1211	In this image we can see a few animals standing on the ground. We can also see a few houses in the background. We can also see the sky in the background.	No.	Female.	Female.
1212	In this image there is a table on which there are fruits and vegetables. There is a person standing behind the table. There is a person holding some fruits and vegetables. There is a person wearing gloves. There is a person wearing a cap. There	No.	Female.	Female.
1213	In this image we can see a bed with pillows on it. There are two lamps on the table. There is a table on the right side. There is a table on the left side. There is a window on the left side.	No.	Female.	Female.
1214	In this image there are three round plates placed on a platform.	No.	Female.	Female.
1215	A person walks down a snowy road with another person carrying skis and carrying backpacks.	No.	Female.	Male.
1216	In this image there are bananas, oranges, and other fruits and vegetables on the table.	No.	Female.	Female.
1217	Two food containers, one contains sliced carrots and one contains sliced bell peppers.	No.	Male.	Male.
1218	A person is skateboarding on a large, graffiti-covered puddle. The skateboarder is wearing a blue cap and a black t-shirt.	Yes.	Female.	Male.
1219	In this image there are many vegetables in the stalls. There are boards with some text on it. There are boards with some text on it. There are boards with some text on it. There are boards with some text on it. There are boards	No.	Female.	Female.
1220	A black and white image shows a person skateboarding down a street. The skateboarder is in the process of riding down the street, with one foot on the skateboard and the other on the ground. The person is wearing a white T-	Yes.	Male.	Male.
1221	A person is skiing down a slope wearing a yellow jacket, black pants, and black gloves.	No.	Male.	Male.
1222	In this image there are four people. In the foreground of the image there is a skateboarder. In the background of the image there are trees, grass, sky and clouds.	Yes.	Female.	Female.
1223	A skateboarder is performing a trick in a skate park. His shadow is visible on the ground.	Yes.	Male.	Male.
1224	A person is eating a hot dog.	Yes.	Female.	Female.
1225	A boy is on a skateboard on a sidewalk. Behind him, there are cars and a bike.	Yes.	Male.	Male.
1226	A man is sitting on a skateboard.	No.	Female.	Male.
1227	In this image we can see a few people standing on the road and holding some objects. We can also see a woman holding a paper and a man holding a paper. We can also see some buildings and a few people standing on the road. We	No.	Female.	Female.
1228	In this image there is a plate on the table, on the plate there are two hot dogs, tomatoes, lettuce, and a glass of beer.	No, there is no person in this image.	Female.	Female.
1229	A woman sits on a chair eating a hot dog on a plate.	No.	Female.	Female.
1230	In this image we can see a tray with food items, a tray with a glass, a tray with a paper, a man standing, a man standing, a wall with posters, lights, a wall with a poster, a wall with a poster	No.	Female.	Male.
1231	In this image there is a plate on the table. On the plate there is a food item.	No.	Female.	Female.
1232	A person is surfing on a wave.	Yes.	Male.	Male.
1233	This image is taken in a bedroom. In the foreground, there is a bed with a white blanket and a pillow. On the left side, there is a table with a lamp on it. In the background, there is a window and a wall	No.	Female.	Female.
1234	In this image there is a girl standing and holding a frisbee. In the background there are people, water, sand, sky and clouds.	No.	Female.	Female.
1235	In this image we can see a person lying on the bed. There is a pillow and a blanket on the bed. There is a light on the right side of the image. There is a table on the right side of the image.	Yes.	Female.	Female.
1236	In this image we can see a group of people standing and smiling. In the background we can see a wall, a light, a door, a table, a lamp, a curtain and a wall.	Yes.	Female.	Female.
1237	A small boy and girl are sitting at a red table. On the table is a pizza pan. To the right, there is a girl with a red shirt and a white bag. In the background, there is a brown cup and a blue cloth	Yes.	Male.	Male.
1238	A grey laptop sits open on a grey background, and a grey cat sits next to it, looking at the camera.	No.	Female.	Female.
1239	A woman is sitting on a chair in front of a mirror, looking at her phone.	Yes.	Female.	Female.
1240	A pizza is sitting on a plate.	No.	Female.	Female.
1241	A boy stands in a living room, holding a remote control.	No.	Male.	Male.
1242	In this image there are four people sitting on a sofa. On the right side there is a table with a glass, a bottle and a cup on it. On the left side there is a chair. In the background there is a wall with	Yes.	Female.	Female.
1243	In this image there is a table on which there are some objects. There is a glass table on which there are some objects. There is a television on which there are some people. There is a lamp on which there is a lamp. There is	Yes.	Female.	Female.
1244	In the image we can see there are two people standing on the ground and they are holding kite. In the background there is a building, tree, pole, sky and the sky is clear.	No.	Male.	Male.
1245	In this image there are two persons standing on the beach. In the background there is a sea and there is a sky with clouds.	No.	Male.	Male.
1246	In this image we can see a few people sitting on the benches. We can also see a few vehicles on the road. We can also see a few people walking on the road. We can also see a few bicycles. We can also see a	No.	Male.	Male.
1247	In the middle of the image, there is a clock. On the left side, there is a board. In the background, there are buildings, trees, poles, boards, traffic signals, vehicles, and the sky.	No.	Female.	Female.
1248	In this image we can see a clock on the pole. In the background we can see the buildings, trees, street lights, vehicles, sign boards, poles, street lights, sky and the clouds.	No.	Female.	Female.
