index	prompt1	prompt2	prompt3	prompt4
3028	In this image we can see a clock tower, benches, trees, buildings, sky and clouds.	No.	Female.	Male.
3029	In this image we can see a flower in a glass vase on a table. In the background of the image there is a person.	No.	Female.	Female.
3030	In this image we can see there are some objects on the table. There are some scissors, thread, needles, thread, scissors, scissors, needles, thread, scissors, thread, thread, thread, thread, thread, thread, thread, thread	No.	Female.	Female.
3031	A man is sitting on the grass, drawing or painting. He is wearing a white shirt, black pants, and a black bag. On the table, there is a cup, a tin, a paintbrush, and some other art supplies. In	Yes.	Male.	Male.
3032	A man is eating food in a restaurant.	Yes.	Male.	Male.
3033	A plate of seafood with a knife and a spoon is on a table.	No.	Female.	Female.
3034	In this image we can see a group of people standing on the floor. We can also see a table on which there are food items and a board with some text. We can also see the ceiling with some lights.	No.	Male.	Male.
3035	A woman is riding a bicycle on the road. She is wearing a white top, black shorts and a blue helmet. In the background, there are trees.	IN THIS IMAGE, A PERSON IS CYNTHIA.	Female.	Female.
3036	A man and a woman are standing in a kitchen. A dog is standing beside them.	No.	Male.	Male.
3037	In this image we can see a kitchen with cupboards, a counter, a microwave, a kettle, a box, a bottle, a box, a cupboard, a table, a chair, a window, a door, a mirror, a	No.	Female.	Female.
3038	In this image we can see a woman lying on a bed. On the bed we can see a pillow and a blanket. In the background we can see a wall.	Yes.	Female.	Female.
3039	In this image we can see a kitchen, there are some objects on the counter, there are some objects on the stove, there are some objects on the sink, there is a refrigerator, there is a microwave, there is a bowl, there are	No.	Female.	Female.
3040	A bathroom with a toilet, sink and TV on the wall.	No.	Female.	Female.
3041	A cat is sitting on the brown carpet in front of a TV, next to a refrigerator.	No.	Female.	Female.
3042	In this image we can see a basket, some toys and a person. In the background we can see a sky.	No.	Female.	Female.
3043	An artistic bowl is painted on a pedestal, and there are paint bottles and other objects nearby.	No.	Female.	Female.
3044	A small shop with a green awning over the entrance.	No.	Female.	Female.
3045	In the center of the image there are blue and black objects. On the top left corner of the image there is a mobile phone.	No.	Female.	Female.
3046	In the image there is a laptop on a desk, beside it there is a Samsung monitor, beside it there is a keyboard, beside it there is a mouse, beside it there is a telephone, beside it there is a wall, on the wall	No.	Female.	Female.
3047	Bananas hang from a plant with two yellow and purple flowers.	NO.	Female.	Female.
3048	A small building with a sign saying 'Kathy's Diner' with Pepsi and PepsiS in red and blue letters.	No.	Female.	Female.
3049	In this image there is a mirror, a sink, a toilet, a washing machine, a dryer, a dryer hose, a washing machine, a sink, a toilet paper dispenser, a bottle, a sink, a sink, a sink,	No.	Female.	Female.
3050	In this image we can see a jet plane which is in gray color. In the background we can see the sky, trees, mountains, people, and the ground.	No.	Female.	Female.
3051	In this image there are giraffes in the cage. In the background there are trees and the sky.	No.	Female.	Female.
3052	In the foreground of the picture there are traffic signals, boards, buildings, railing, a fence and a pole. In the background there is sky.	No.	Female.	Female.
3053	In this image there is a truck, there are people, there are fruits, there are people, there are stalls, there are poles, there is a sky.	Yes.	Male.	Male.
3054	In this image we can see giraffes, deer, and a baby deer standing near a tree. We can also see a mesh fence, trees, buildings, and the sky.	No.	Female.	Female.
3055	In the center of the image there are many buses parked on the road. In the background of the image there are many trees and a mountain.	No.	Female.	Female.
3056	A blue building with many windows has a sign that says "649" in red.	No.	Female.	Female.
3057	In the center of the image we can see a bus which is in red and white color. In the background of the image we can see buildings, trees, vehicles, poles, boards, sky and clouds. At the bottom of the image we can	Yes.	Female.	Female.
3058	In this image there is a fire hydrant, beside the fire hydrant there is a car, beside the car there is a building, beside the building there is a sign board, beside the sign board there is a name board, beside the name	No.	Female.	Male.
3059	In this image there are people walking on the road. There are buildings, trees, poles, traffic lights, boards, traffic signals, vehicles, and the sky.	Yes.	Female.	Female.
3060	In this image we can see buildings, trees, poles, boards, traffic signals, vehicles on the road, sky with clouds.	No.	Female.	Female.
3061	In this image we can see a train on the railway track, beside the train there is a platform, on the platform there are some pillars, there are some plants, trees, a building, a sign board, a pole, a sign board,	Yes.	Female.	Male.
3062	In this image we can see a train on the track. In the background we can see buildings, poles, boards, lights, and the sky.	No.	Female.	Female.
3063	In this image there is a train on the track. There is a person standing on the right side of the image. There is a building in the background. There is a sky at the top of the image.	Yes.	Male.	Male.
3064	In this image we can see a train on the railway track, there are people standing on the platform, there are buildings, poles, lights, a fence, a board, a pole, a person, a vehicle, a person, a building,	No.	Female.	Male.
3065	In this image we can see a train on the tracks. There are trees and a shed in the background. There are poles and a sky in the background.	No.	Female.	Female.
3066	In the image there is a silver pole with two meters attached to it, on the left side of the image there is a white car and a red telephone booth, behind the telephone booth there is a tree and a building.	No.	Female.	Female.
3067	In the image we can see there is a white color cat sitting on a bag. In the background there is a metal cage.	No.	Female.	Female.
3068	An orange fire truck is in a museum.	No.	Female.	Female.
3069	In this image there is a truck on the road. There are trees in the background. There is a building in the background. There is a person standing on the road.	Yes.	Female.	Male.
3070	In the foreground of the image, there is a cat sitting on a sofa. In the background, there is a table with a laptop on it.	No.	Female.	Female.
3071	In this image we can see a cow, there are stalls, there are boards, there are people standing, there are lights, there are banners, there are objects on the boards, there are poles, there are objects on the ground, there are	No.	Female.	Female.
3072	In this image there are cows grazing on the grass. In the background there are trees and buildings. At the top of the image there is the sky.	No.	Female.	Female.
3073	In the image we can see an elephant standing in the water. In the background we can see water, grass, plants, and the sky.	No.	Male.	Male.
3074	A man is wearing a dark suit and a tie.	Yes.	Male.	Male.
3075	In this image we can see two elephants. The background of the image is blurred.	No, there is no person in this image.	Female.	Female.
3076	In the picture we can see a cat sitting on a laptop and looking at the keyboard, the background is blurred.	No.	Female.	Female.
3077	In the image there are two elephants and a baby elephant walking near a water body. Behind them there are trees.	No.	Female.	Female.
3078	In this image we can see boats on the water. In the background we can see buildings, trees, poles, sky and clouds.	No.	Female.	Female.
3079	In this image we can see an elephant sitting on the ground. In the background we can see the trees and the ground.	Yes.	Male.	Male.
3080	In this image we can see the ocean, there are many people on the beach, there are umbrellas, there are buildings, there are poles, there are flags, there are trees, there are clouds in the sky.	No.	Female.	Female.
3081	In this image there is a water body in the middle of the image. There are umbrellas on the water body. There is a sky at the top of the image.	No.	Female.	Female.
3082	A cat is sleeping in a suitcase.	No.	Female.	Female.
3083	In this image there are two women holding the umbrellas. In the background there are plants, flowers, trees and the sky.	NO.	Male.	Male.
3084	In this image there are many people walking on the road. There are many umbrellas. There are many buildings. There are many trees. There is a river. There are many poles. There are many flags. There are many buildings. There	No.	Female.	Male.
3085	In this image we can see two persons walking on the road.	Yes.	Male.	Male.
3086	In this image we can see a car, bags, a sign board, a building, a sign pole, a bicycle, a sign board, a tree, a building, a sign board, a sign pole, a bicycle, a sign board,	No.	Male.	Male.
3087	In this image we can see a dog lying on a bed.	No.	Female.	Female.
3088	A woman is throwing a frisbee. Behind her two men are standing. In the background there is an umbrella.	No.	Female.	Female.
3089	In this image there is a zebra standing on the ground. In the background there are trees and hills. At the top of the image there is sky.	No.	Female.	Female.
3090	In this image there are many people walking on the beach. In the background there is a lake and there are many rocks.	Yes.	Male.	Male.
3091	In this black and white image we can see a zebra standing on the ground and there is a chain link fence. In the background we can see trees, grass, sky and the fence.	No.	Female.	Female.
3092	In this image I can see the animals in the zoo. I can see the trees, the fence, the wooden object and the ground.	No.	Female.	Female.
3093	In the image there are two horses sitting side by side.	No.	Male.	Male.
3094	In this image there is a person riding a horse. In the background there are trees.	No.	Female.	Female.
3095	In this image we can see a person riding a horse in a horse arena. In the background we can see a fence, trees, vehicles, people, and the sky.	Yes.	Female.	Female.
3096	In this image we can see a person skiing on the snow. In the background we can see trees, sky and the ground.	Yes.	Female.	Male.
3097	A pan with broccoli and meat is on a stovetop.	No.	Female.	Female.
3098	A skateboarder is performing a trick in a squat-type squat-type squat-type squat-type squat-type squat-type trick.	Yes.	Male.	Male.
3099	In this image there are people who are skiing. At the bottom of the image there is water. In the background there are trees.	No.	Male.	Male.
3100	In this image we can see four skateboards on the sand. In the background there is sky.	No.	Female.	Female.
3101	A boy is holding a blue skateboard in his hands. He is wearing a black t-shirt and yellow pants. In the background, there are people walking.	No.	Male.	Male.
3102	In this image there are two plates on the table. On the plate there are pieces of meat, carrots, potatoes and a knife.	No.	Female.	Female.
3103	A skateboarder is performing a trick on a ramp.	Yes.	Male.	Male.
3104	In this image there are four people sitting on the floor. There are skateboards. There is a woman standing on the floor. There is a fence. There are iron grills.	No.	Female.	Female.
3105	In this image we can see a man eating food and there are bowls, glasses, plates, and other objects on the table.	No.	Male.	Male.
3106	In the image there are many carrots in a basket, which are arranged in a neat manner. On the top left there is a price tag attached to a board. Behind the basket there are some vegetables and a railing.	No.	Female.	Female.
3107	A man is skating along a brown ramp, wearing a helmet and knee pads.	Yes.	Male.	Male.
3108	A person is skateboarding on a street. In the background, there are buildings, trees, poles, lights, and the sky with clouds.	Yes.	Female.	Male.
3109	A man is skateboarding in a shop.	Yes.	Male.	Male.
3110	A tray with two hot dogs and a full bottle of Coca Cola next to them.	No.	Female.	Female.
3111	A man is eating a donut in a box.	Yes.	Male.	Male.
3112	In this image there is a doughnut on a table. In the background there are few people sitting and there is a glass window.	No.	Female.	Female.
3113	A person's hand holds a frosted donut with a thick, chocolate-covered filling.	NO.	Female.	Female.
3114	A person is on a surfboard with their kite attached.	Yes.	Female.	Male.
3115	In this image we can see two people standing on the sand. In the background we can see the sky with clouds.	No.	Male.	Male.
3116	A girl is holding a surfboard. The background is cloudy.	Yes.	Female.	Female.
3117	A woman is surfing in the ocean.	Yes.	Female.	Female.
3118	A plate of food, including a sandwich, fries, and coleslaw, sits on a white table. There are silverware and knives on the plate. In the center of the plate is a white bowl filled with coleslaw.	No.	Female.	Female.
3119	In this image we can see a person sitting on the bed and looking at the mirror. In the mirror we can see the reflection of the person. In the mirror we can see the photo frames. In the background of the image we can see the	No.	Female.	Female.
3120	A person is on a red surfboard on the water.	Yes.	Male.	Male.
3121	A surfer is riding a surfboard in an ocean.	Yes.	Male.	Male.
3122	In this image we can see a bed, pillows, blanket, laptop, books, toys, and a cupboard. In the background we can see a wall, a cupboard, a laptop, a book, a remote, a toy, a	No.	Female.	Female.
3123	In this image there are people sitting on the sand, and there are surfboards. In the background there are buildings, trees, tents, people, and the sky.	No.	Male.	Male.
3124	In the image we can see a person is holding a surfboard in his hand. The surfboard is in the water. In the background we can see the waves. At the bottom we can see the watermark.	Yes.	Female.	Male.
3125	A person is on a surfboard in the water, and they are wearing a wetsuit.	Yes.	Female.	Female.
3126	In this image we can see a group of people in the water, in the water, there are surfboards, chairs, tables, and a few other objects.	Yes.	WOMEN.	WOMEN.
3127	A bedroom has a bed with a green blanket and pillows, a hat, and a pair of shoes on the floor.	No.	NO The person(s) in this image are not specified.	Female.
3128	In this image there is an ocean with waves. There are two persons in the water.	Yes.	Wetsuit.	Wetsuit.
3129	In the image there are two people in the water, one of them is surfing on the other one.	Yes.	Female.	Female.
3130	In this image we can see a group of people standing and holding surfboards. In the background we can see a tent, a wall, a person holding a surfboard, a bucket, a container, a person holding a surfboard, a person	Yes.	Male.	Male.
3131	A person is playing tennis on the court. In the background, there is a fence and some plants.	Yes.	Male.	Male.
3132	A man is playing tennis on a tennis court. In the background, there is a green banner with the word Ely in white letters.	Yes.	Male.	Male.
3133	Four different photos, in which a girl is playing tennis, a man is playing tennis, and a lady is doing a trick, and a man is doing a trick.	No.	Female.	Female.
3134	In this image we can see a man holding a tennis racket and standing on the road holding a tennis ball. Behind him there are two people walking on the road. Behind them there is a fence. In the background there are buildings, trees,	Yes.	Male.	Male.
3135	In the image there is a plate with food on a table, on the plate there are green beans, potatoes, chicken and a fork.	No.	Female.	Female.
3136	A man and a woman are playing video games in a living room.	NO.	WOMEN.	Female.
3137	In this image we can see two persons standing and shaking their hands. In the background we can see a table, a television, a basket, a cupboard, a wall and a door.	No.	Male.	Male.
3138	A person is windsurfing in the ocean. The image is taken in the ocean. There is a kite in the sky. There are hills in the background.	Yes.	Female.	Female.
3139	A person is sitting on a beach with a kite.	No.	Male.	Male.
3140	In this image there is a sea and a sky. There are two people standing on the beach. There is a kite flying in the air.	No.	Male.	Female.
3141	In this image, there is a kite in the sky.	No.	Female.	Female.
3142	A baseball player is batting in the outfield.	Yes.	Male.	Male.
3143	A boy is playing tennis.	Yes.	Male.	Male.
3144	In this image there is a desk, on the desk there are monitors, keyboard, mouse, keyboard, lamp, books, books, papers, files, and some other objects. In the background there is a wall.	No.	NO.	Female.
3145	In this black and white image we can see some plants, a pipe, a hanger, a bag, a wall, a stick, a cloth and some other objects. At the bottom of the image we can see a water tank. At the	No.	Female.	Female.
3146	In this image there is a table on which there are some objects. On the left side there is a cloth. On the right side there is a table. On the table there are some objects. On the left side there is a cloth. On	No.	Female.	Female.
3147	In the image there is a clock on a white wall, which is labelled as 1106.	No.	Female.	Female.
3148	In the foreground of the picture there is a refrigerator with stickers on it. In the background there is a blue color cloth and a black color object.	No.	Female.	Female.
3149	In this image we can see a flower vase hanging on the wall.	No.	Female.	Female.
3150	In this image there is a tower, there are people walking on the road, there are vehicles, there are trees, there are buildings, there are lights, there are clouds in the sky, there is a tower, there are clocks on the tower	No.	Female.	Female.
3151	In this image we can see a tower building, there are some buildings, there are some bicycles, there are some poles, there are some clouds in the sky.	No.	Female.	Female.
3152	In the image there are green leafy vegetables in a blue package on a black surface.	No.	Female.	Female.
3153	A man is cooking in a stove. He is wearing a grey long-sleeved shirt and blue pants.	Yes.	Male.	Male.
3154	A man and a woman are sitting at a table. On the table there are food items, chopsticks, a glass of drink, a plate with food items and a paper with text. In the background there is a window.	No.	Female.	Female.
3155	In the foreground of the picture there is a man with a black cap, glasses, holding a mobile phone. In the background there are posters, lights, boards, racks, bottles, lights and other objects. At the top there is a ceiling with	Yes.	Male.	Male.
3156	In this image we can see a stove, kettle, coffee pot, sink, trash can, cupboard, microwave, door, wall, and a carpet.	No.	Female.	Female.
3157	In the image there are boys playing soccer and wearing jerseys which are green and yellow in color.	Yes.	Male.	Male.
3158	A small kitchen with a dining table and chairs, a lamp and a bottle on the table.	No.	Female.	Female.
3159	In the image there is a man standing on the ground with a rope around his neck and behind him there are several cows standing on the ground. Behind the cows there are people standing and there are vehicles and a hill.	Yes.	Male.	Male.
3160	In this image we can see a pot with a lid on it and a jar with a lid. We can also see a jar with a lid on the stove. We can also see a jar with a lid on the stove. We can also see	No.	NO.	NO.
3161	In this image we can see a bowl with slices of oranges and a person's hand is on the right side of the image. In the background there are glasses, bottles, a counter, a wall and a few other objects.	No.	Female.	Female.
3162	In this image we can see a washroom with a toilet and a sink.	No.	Female.	Female.
3163	Bathroom.	No.	Male.	Male.
3164	The image shows a busy urban street scene with several elements. The foreground is dominated by a black sedan, parked on the side of the road. The car is positioned in such a way that it is partially obstructed by several bicycles, which are	No.	Female.	Male.
3165	In this image there are four people standing and smiling. In the background there are some people standing and there are some lights.	No.	Female.	Female.
3166	In this image we can see a bathtub, a sink, a mirror, a glass door, a wall with tiles, a window with a blind, a towel, a wash basin, a shower head, a light, a mirror, a sink,	No.	Female.	Female.
3167	In this image we can see a car, a fence, bicycles, plants, grass, a building, a signboard, a tree, a pole and the sky.	No.	Female.	Female.
3168	In this image we can see a few people, vehicles, buildings, poles, boards, banners, and some objects. At the top of the image there is the sky.	No.	Female.	Female.
3169	In this image we can see a car, a person holding a bag, a person standing on the road, a person walking on the road, a person sitting on a chair, a person standing on the road, a person walking on the road,	No.	Female.	Male.
3170	A small white toilet is in a small room.	No.	Female.	Female.
3171	In this image there are two men riding a motorcycle.	Yes.	Male.	Male.
3172	In this image there is a motorcycle parked on the ground. Behind the motorcycle there are some cars and a person standing. In the background there are some buildings and the sky.	No.	Male.	Male.
3173	In this image we can see a cat in a glass window.	No.	Female.	Female.
3174	In this image we can see a person sitting on a bench. In the background we can see a lake, trees, hills and the sky.	Yes.	Female.	Male.
3175	In the image there is a giraffe standing on a large rock in the middle of the image, behind the rock there are some trees and a pole.	No.	Female.	Female.
3176	In this image there is a dog standing on the grass. In the background there are sheep running on the grass. There is water and sky in the background.	No.	Female.	Female.
3177	Two giraffes are looking at the camera.	No.	Female.	Female.
3178	A black and white photo of an old plane sitting on the ground.	Yes.	Female.	Male.
3179	In this image, I can see a car on the road. In the background, I can see the water, the sky and the clouds.	No.	Female.	Female.
3180	In this image we can see animals, plants, rocks, grass, water and trees.	No.	Female.	Female.
3181	In this image we can see a boat with glass windows and a person sitting inside it. In the background we can see the sky, buildings and boats.	No.	Female.	Female.
3182	In this image we can see a statue, a person holding a stick, a bucket, a bucket and some other objects, a bus, a tree, a pole, a building, a street light, a person standing on the grass, some objects	No.	Male.	Male.
3183	In this image there is a bus on the road.	No.	Female.	Female.
3184	A yellow and red bus is driving down the street in front of a building with the name "BRITANNIA ROCKS".	No.	Female.	Female.
3185	In this image there is a bus in the middle, there are two persons standing on the left side of the bus, there are vehicles on the right side of the bus, there are buildings in the background, there is a railing in the middle	No.	Female.	Male.
3186	In this image there is a road and there is a fence. In the background there is a building and there are people.	No.	Female.	Female.
3187	A red bus is driving down the street.	Yes.	Male.	Male.
3188	In this image we can see a hydrant, beside the hydrant there are some dry leaves, and in the background there are some people walking, buildings, trees, boards, poles, vehicles, and the sky.	No.	Female.	Female.
3189	In this image there is a bus on the road. There are two persons standing on the road. There are two vehicles on the road. There are trees, buildings and the sky in the background.	No.	Female.	Male.
3190	Bus with license plate "A999999".	No.	Male.	Male.
3191	This picture shows a bus and a bus in the bus and we see a person sitting in the bus and we see a bus and a bus in the background and we see a train and a train in the background and we see a pole and a pole	No.	Female.	Female.
3192	In the image we can see there is a horse cart and there is a road. There is a sign board and there is a fence. There are trees and there is a sky.	No.	Female.	Female.
3193	In this image we can see a bird flying in the sky, there are three people standing on the beach, there are waves in the ocean, there are some objects on the sand, there are some objects on the ground, there are some objects on	No.	Female.	Female.
3194	In this image there is a building, on the building there is a sign board, on the sign board there is some text.	No.	NO.	NO.
3195	In this image there is a car on the road, beside the car there is an orange pole. In front of the car there is a board with some text on it. Behind the car there is a building.	Yes.	Male.	Male.
3196	In this image we can see some sheep and goats in the ground. In the background we can see some plants, trees, poles, a hill and the sky.	No.	Female.	Female.
3197	In this image there is a person wearing a jacket and standing on the railway tracks. There are railway tracks in the image. There are trains on the tracks. There are stones on the tracks.	Yes.	Male.	Male.
3198	A very busy city street with a traffic light, McDonald's sign and cars.	No.	Female.	Female.
3199	A train window shows a train with a broadcast on it, and the words "U.S.A. BY W.W. SHOW" on it.	No.	Female.	Female.
3200	In this image there is a stop sign. Behind the sign there is a building. On the building there are trees. On the building there is a pole. On the pole there is a light. On the ground there is grass.	No.	Female.	Male.
3201	In the foreground of the picture there is a pole with a sign board. On the sign board there are stickers. In the center of the picture there is a building with windows. On the right there is a tree. On the left there is a	No.	STANLEY.	GIRL.
3202	In this image we can see three persons are on the wooden platform. In the background we can see a train, persons walking on the platform, a building, a pole, a traffic cone, a person standing on the platform, a person walking on	No.	P.	PERSONAL.
3203	A train travels through a series of tracks, with a man in the front, wearing a hat.	No.	Female.	Male.
3204	In this image there is a train on the track. There are two people standing on the platform. There are two trains on the track. There are trees and grass on the ground.	Yes.	Female.	Female.
3205	In the image there is a train which is in green color and on the train there are three men standing and one man is holding a banner in his hand.	No.	Male.	Male.
3206	In the foreground of the picture there are two boards. On the left there is a sign with red background and white text. On the right there is a sign with black background and white text. In the background there are trees, buildings, poles,	No.	Female.	Female.
3207	In this image there is a sidewalk, on the sidewalk there are cars, a pole, a person sitting on a chair, a tree, a building, a sign board, a car, a person standing, a tree, a building, a sign	No.	Female.	Female.
3208	A car looking in the rearview mirror of a bus, a red bus in the background, a white car on the road, buildings, street lights, signboards, and a license plate.	No.	Female.	Female.
3209	In this image we can see a cat on the grass.	No.	Female.	Female.
3210	In the image we can see there is a cat sitting on the table and there is an umbrella.	No.	Female.	Female.
3211	In this image there is a cat sitting on the window ledge.	No.	Female.	Female.
3212	In this image we can see a cat and a cat on the table. In the background we can see a television, a cupboard, a wall, a curtain, a mirror, a table, a floor, a carpet, a lamp, a	No.	Female.	Female.
3213	In this image there is a cow standing on the grass. In the background there are trees and the sky.	No.	Female.	Female.
3214	An orange cat is sleeping on a laptop computer, in front of a monitor.	No.	Female.	Female.
3215	In this image we can see a black and white picture of a man and a woman sitting on a horse. In the background we can see a tree, a house, a fence, a person standing on the ground, a dog, a person standing	No.	Female.	Female.
3216	A woman is pointing to a pillow with an illustration of ponies on it.	No.	Female.	Female.
3217	In this image we can see a man sitting on a chair and he is looking at the right side of the image.	Yes.	Male.	Male.
3218	In the image there is an elephant walking in the water and in the background there is grass and mud.	No.	Female.	Male.
3219	A woman takes a selfie in a mirror with purple hair and a grey shirt.	No.	Female.	Female.
3220	In this image we can see elephants, grass, trees, plants, and the sky.	No.	Female.	Female.
3221	In the image we can see a boat on the water. In the background there are buildings, trees, poles, flags, and sky.	No.	Female.	Male.
3222	In this image there is a cat sitting in a sink. There is a bottle, a bowl, a bowl, a dog, a dog, a bowl and a few other objects in the sink. There are two teddy bears, a bottle and a	No.	Female.	Female.
3223	In this image there is a man walking on the road. There are two people holding umbrellas. There are buildings and trees. There are poles with lights. There are banners with text. There are benches. There are people standing. There are	No.	Female.	Male.
3224	In this image there are three elephants, on the left side of the image there are two people sitting on the elephant, in the middle of the image there are three people sitting on the elephant, in the background of the image there is a building,	No.	Male.	Female.
3225	In this image we can see a woman sitting on a suitcase.	Yes.	Female.	Female.
3226	A hotel room has two double beds with white sheets and pillows. On top of the beds is a suitcase. There are three framed pictures on the yellow wall.	No.	Female.	Female.
3227	In this image we can see two white color chairs on the ground and a white color umbrella. In the background we can see a swimming pool, a tree, a fence, a blue color boat, water and the sky with clouds.	No.	Male.	Female.
3228	In this image we can see boats on the water, buildings, trees, poles, flags, and the sky.	No.	Male.	Male.
3229	In this image there are bags on the floor. There are people standing. There are buildings. There is a tree. There is a pole.	No.	Female.	Female.
3230	In this image we can see a dog in the water. We can also see some grass.	No.	Female.	Female.
3231	A teddy bear is sitting on a plaid bed sheet. The bear is holding a book which is opened to a page that is titled "BLONDEE".	No.	Blonde.	Female.
3232	In this image there are bears in the snow.	No.	Female.	Female.
3233	In this image there are two zebras grazing on the grass. Behind them there are some plants. In the background there are some trees.	No.	Female.	Female.
3234	In the image there are two zebras standing in the grass.	No.	Female.	Female.
3235	In the image we can see there are zebras and a baby zebra. In the background there are many other zebras and grass.	No.	Female.	Female.
3236	In this image there are two men standing on the ground. The man on the left is wearing a grey t-shirt and black shorts. The man on the right is wearing a white t-shirt and blue jeans. In the background there is a	Yes.	Male.	Male.
3237	A man is flying a kite in the air. The sun is setting. There is a beach.	Yes.	Male.	Male.
3238	In the center of the image we can see a zebra standing on the ground. In the background we can see rocks, plants and trees.	No.	Zebra.	Zebra.
3239	An empty paper plate with a sandwich and some salad has spilled on the table.	No, there is no person in this image.	Female.	Female.
3240	A woman is holding bananas in her hands. The bananas are yellow. There is a blackboard with the words "Week 31 Banana Bunch" on it.	Yes.	Female.	Female.
3241	A slice of pizza is on foil, some cheese has melted and there are some vegetables.	No.	Female.	Female.
3242	A skier jumps in the air with ski poles.	Yes.	Male.	Male.
3243	In this image there are three people standing on the snow. In the background there are trees and the sky.	Yes.	Female.	Female.
3244	In a cardboard box, there are several vegetables including carrots, broccoli, and cabbage.	No.	Male.	Male.
3245	A man is skateboarding on a ramp.	Yes.	Male.	Male.
3246	In this image there is a girl who is wearing a pink jacket, purple jacket, black pants and a cap. She is holding a ski board. There are two other persons who are standing. There is a person who is wearing a black jacket and	Yes.	Female.	Female.
3247	A tray with a bread sandwich and a orange drink beside it.	No.	Male.	Female.
3248	A person snowboarding on a snowy mountain.	Yes.	Female.	Male.
3249	A pizza has been cooked and is now in a box.	No.	Female.	Female.
3250	This image depicts a soccer stadium filled with spectators. The stadium is well-lit, with large, bright lights positioned above the field, illuminating the area. The field is a large, grassy area that is divided into several sections, each marked by white	No.	Female.	Female.
3251	In this image there are five women sitting on the grass. In the background there is a table with some food items on it.	No.	Female.	Female.
3252	A man and a woman are cutting a colorful cake. In the background, there is a photo frame on the wall.	No.	Female.	Female.
3253	In the image we can see there are two people standing in the water and holding surfboards. In the background there is an ocean and there are waves.	Yes.	Male.	Male.
3254	A slice of cake is on a white plate with a pink flower on top.	No.	Female.	Female.
3255	A surfer is riding a wave in the ocean.	Yes.	Male.	Male.
3256	In this image we can see a bed with a black cover, pillows, a remote, a lamp, a table, a chair, a wall, a door, a wall, a lamp, a switchboard, a wall, a door, a	No.	Female.	Female.
